"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"html-keyboard-response","18","121772","0.0-5.0-4.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","541","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw040.bmp","1","Match","e","1500","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","19","122279","0.0-5.0-5.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","20","122781","0.0-5.0-1.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","21","127296","0.0-5.0-2.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw085.bmp","1,1,0","Match","e","4500","","","","",""
"html-keyboard-response","22","131309","0.0-5.0-3.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","23","132195","0.0-5.0-4.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","886","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw085.bmp","1,1,0","Match","e","4500","trustrating_stim/white_mw010.bmp","green","Share","PRACTICE","1"
"html-keyboard-response","24","132698","0.0-5.0-5.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","25","133199","0.0-5.0-1.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","26","136210","0.0-5.0-2.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw042.bmp","0,1","noMatchFace","i","3000","","","","",""
"html-keyboard-response","27","140223","0.0-5.0-3.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","28","141066","0.0-5.0-4.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","842","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw010.bmp,trustrating_stim/white_mw042.bmp","0,1","noMatchFace","i","3000","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","1"
"html-keyboard-response","29","141581","0.0-5.0-5.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","30","142082","0.0-5.0-1.5","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","31","146598","0.0-5.0-2.5","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1,1","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","32","150611","0.0-5.0-3.5","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","33","152658","0.0-5.0-4.5","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","2046","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1,1","noMatchOutcome","i","4500","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","0"
"html-keyboard-response","34","153166","0.0-5.0-5.5","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"instructions","35","161906","0.0-6.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","[{""page_index"":0,""viewing_time"":8739}]","8739","","","","","","","","","","","","","","",""
"html-keyboard-response","36","162412","0.0-7.0-1.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","37","166928","0.0-7.0-2.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw010.bmp","1,0,1","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","38","170940","0.0-7.0-3.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","39","172844","0.0-7.0-4.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","1902","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw010.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw010.bmp","1,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw010.bmp","red","Keep","REAL","1"
"html-keyboard-response","40","173348","0.0-7.0-5.0","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","41","173850","0.0-7.0-1.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","42","176860","0.0-7.0-2.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","","","","",""
"html-keyboard-response","43","180873","0.0-7.0-3.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","44","181523","0.0-7.0-4.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","649","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","2","trustrating_stim/white_mw085.bmp,trustrating_stim/white_mw040.bmp","1,0","Match","e","3000","trustrating_stim/white_mw085.bmp","green","Share","REAL","1"
"html-keyboard-response","45","182035","0.0-7.0-5.1","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","46","182545","0.0-7.0-1.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","47","184052","0.0-7.0-2.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","0","Match","e","1500","","","","",""
"html-keyboard-response","48","188065","0.0-7.0-3.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","49","188618","0.0-7.0-4.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","552","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw092.bmp","0","Match","e","1500","trustrating_stim/white_mw092.bmp","red","Keep","REAL","0"
"html-keyboard-response","50","189122","0.0-7.0-5.2","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","51","189624","0.0-7.0-1.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"html-keyboard-response","52","191129","0.0-7.0-2.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw013.bmp","0","noMatchOutcome","i","1500","","","","",""
"html-keyboard-response","53","195142","0.0-7.0-3.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"html-keyboard-response","54","196186","0.0-7.0-4.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","1043","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw013.bmp","0","noMatchOutcome","i","1500","trustrating_stim/white_mw013.bmp","green","Share","REAL","1"
"html-keyboard-response","55","196693","0.0-7.0-5.3","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"html-keyboard-response","56","197195","0.0-7.0-1.4","6400f80179f04251a962fd22","bdp_wmem","Tue Mar 14 2023 13:43:34 GMT-0500 (Central Daylight Time)","603351","Match,No Match","","","","","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
