"event","trial","time","trialtype","numBlurs","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","191","476966","0.0-7.0-2.31","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw078.bmp","1","Match","e","1500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","192","480974","0.0-7.0-3.31","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","193","482065","0.0-7.0-4.31","","1090","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw078.bmp","1","Match","e","1500","trustrating_stim/white_mw078.bmp","green","Share","REAL","1"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","194","482567","0.0-7.0-5.31","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","195","483071","0.0-7.0-1.32","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","196","484575","0.0-7.0-2.32","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw085.bmp","1","noMatchOutcome","i","1500","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","197","488583","0.0-7.0-3.32","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","198","489696","0.0-7.0-4.32","","1112","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw085.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw085.bmp","1","noMatchOutcome","i","1500","trustrating_stim/white_mw085.bmp","red","Keep","REAL","1"
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","199","490199","0.0-7.0-5.32","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","","62e19208352cd518d7b2f085","bdp_wmem","Tue Mar 14 2023 22:09:53 GMT-0400 (Eastern Daylight Time)","629514","Match,No Match","html-keyboard-response","200","490703","0.0-7.0-1.33","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
