"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","160","430652","0.0-7.0-5.24","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","161","431166","0.0-7.0-1.25","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","162","435684","0.0-7.0-2.25","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw042.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw042.bmp","0,0,1","noMatchOutcome","i","4500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","163","439684","0.0-7.0-3.25","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","164","441957","0.0-7.0-4.25","","2273","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw078.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw078.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw042.bmp","0,0,1","noMatchOutcome","i","4500","trustrating_stim/white_mw078.bmp","green","Share","REAL","1"
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","165","442467","0.0-7.0-5.25","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","166","442976","0.0-7.0-1.26","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","167","444480","0.0-7.0-2.26","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw038.bmp","0","Match","e","1500","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","168","448483","0.0-7.0-3.26","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","63f58712a2c1bd62fa7bb352","bdp_wmem","Tue Mar 14 2023 19:11:33 GMT-0600 (Mountain Daylight Time)","671297","Match,No Match","html-keyboard-response","169","449877","0.0-7.0-4.26","","1394","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw038.bmp","0","Match","e","1500","trustrating_stim/white_mw038.bmp","red","Keep","REAL","1"
