"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","115","327960","0.0-7.0-5.15","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","116","328475","0.0-7.0-1.16","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","117","329989","0.0-7.0-2.16","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","1","noMatchFace","i","1500","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","118","333995","0.0-7.0-3.16","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","119","335143","0.0-7.0-4.16","","1147","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","1","trustrating_stim/white_mw092.bmp","1","noMatchFace","i","1500","trustrating_stim/white_mw013.bmp","green","Share","REAL","1"
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","120","335658","0.0-7.0-5.16","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","121","336166","0.0-7.0-1.17","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","122","337677","0.0-7.0-2.17","","null","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw013.bmp","0","Match","e","1500","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","123","341686","0.0-7.0-3.17","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","5bbc4bd1f83ac60001fe665e","bdp_wmem","Mon Mar 13 2023 12:05:34 GMT-0700 (Pacific Daylight Time)","623241","Match,No Match","html-keyboard-response","124","342807","0.0-7.0-4.17","","1119","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw013.bmp","0","Match","e","1500","trustrating_stim/white_mw013.bmp","red","Keep","REAL","1"
