"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","stimType","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","arrayDur","targFace","targCol","targOutcome","trialType","corr"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","6","157109","0.0-5.0-2.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","7","161116","0.0-5.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","8","163665","0.0-5.0-4.0","","2547","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw092.bmp","0","noMatchFace","i","1500","trustrating_stim/white_mw040.bmp","red","Keep","PRACTICE","0"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","9","164167","0.0-5.0-5.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","10","164672","0.0-5.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","11","169177","0.0-5.0-2.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1,1","Match","e","4500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","12","173182","0.0-5.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","13","175785","0.0-5.0-4.1","","2601","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw003.bmp","0,1,1","Match","e","4500","trustrating_stim/white_mw040.bmp","green","Share","PRACTICE","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","14","176291","0.0-5.0-5.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","15","176797","0.0-5.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","16","179803","0.0-5.0-2.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","Match","e","3000","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","17","183807","0.0-5.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","18","185035","0.0-5.0-4.2","","1227","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0","Match","e","3000","trustrating_stim/white_mw015.bmp","green","Share","PRACTICE","0"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","19","185538","0.0-5.0-5.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","20","186044","0.0-5.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","21","190551","0.0-5.0-2.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw013.bmp","0,0,1","noMatchOutcome","i","4500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","22","194557","0.0-5.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","23","197528","0.0-5.0-4.3","","2970","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw013.bmp","0,0,1","noMatchOutcome","i","4500","trustrating_stim/white_00807_941205_fb_edt.bmp","green","Share","PRACTICE","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","24","198034","0.0-5.0-5.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","25","198539","0.0-5.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","26","201546","0.0-5.0-2.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","noMatchFace","i","3000","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","27","205551","0.0-5.0-3.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","28","206851","0.0-5.0-4.4","","1298","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0","noMatchFace","i","3000","trustrating_stim/white_mw003.bmp","red","Keep","PRACTICE","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","29","207353","0.0-5.0-5.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","30","207857","0.0-5.0-1.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","31","209359","0.0-5.0-2.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw033.bmp","1","Match","e","1500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","32","213360","0.0-5.0-3.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","33","214647","0.0-5.0-4.5","","1285","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw033.bmp","1","Match","e","1500","trustrating_stim/white_mw033.bmp","green","Share","PRACTICE","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","34","215150","0.0-5.0-5.5","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","instructions","35","223045","0.0-6.0","[{""page_index"":0,""viewing_time"":7894}]","7895","","","","","","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","36","223549","0.0-7.0-1.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","37","228054","0.0-7.0-2.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp","0,1,0","noMatchOutcome","i","4500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","38","232059","0.0-7.0-3.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","39","233815","0.0-7.0-4.0","","1756","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_mw015.bmp","0,1,0","noMatchOutcome","i","4500","trustrating_stim/white_mw003.bmp","green","Share","REAL","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","40","234322","0.0-7.0-5.0","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","41","234824","0.0-7.0-1.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","42","239329","0.0-7.0-2.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp","0,1,0","noMatchFace","i","4500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","43","243331","0.0-7.0-3.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","44","245692","0.0-7.0-4.1","","2359","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","TARGET","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw003.bmp","0,1,0","noMatchFace","i","4500","trustrating_stim/white_mw033.bmp","green","Share","REAL","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","45","246198","0.0-7.0-5.1","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","46","246701","0.0-7.0-1.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","47","248207","0.0-7.0-2.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","ARRAY","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","48","252213","0.0-7.0-3.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","49","254376","0.0-7.0-4.2","","2163","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","trustrating_stim/white_mw070.bmp","green","Share","REAL","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","50","254882","0.0-7.0-5.2","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","51","255385","0.0-7.0-1.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","52","259888","0.0-7.0-2.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","ARRAY","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw092.bmp","1,0,0","Match","e","4500","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","53","263894","0.0-7.0-3.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","DELAY","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","54","267835","0.0-7.0-4.3","","3940","","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","TARGET","3","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw003.bmp,trustrating_stim/white_mw092.bmp","1,0,0","Match","e","4500","trustrating_stim/white_mw003.bmp","red","Keep","REAL","1"
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","55","268340","0.0-7.0-5.3","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","FEEDBACK","","","","","","","","","","",""
"","","","","2","bdp_wmem","Mon Feb 28 2022 19:14:34 GMT-0500 (Eastern Standard Time)","684778","Match,No Match","html-keyboard-response","56","268842","0.0-7.0-1.4","","null","","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","FIX","","","","","","","","","","",""
