"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"html-slider-response","11","157537","0.0-7.0-1.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","simRating","","6188","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your high school classmates","","",""
"html-slider-response","12","160833","0.0-7.0-1.1","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","simRating","","3293","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","2","complete strangers","","",""
"html-slider-response","13","163469","0.0-7.0-1.2","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","simRating","","2633","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"html-slider-response","14","169763","0.0-7.0-1.3","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","simRating","","6292","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","your acquaintances","","",""
"html-slider-response","15","173627","0.0-7.0-1.4","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","simRating","","3862","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","other prolific workers","","",""
"instructions","16","177678","0.0-8.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","[{""page_index"":0,""viewing_time"":4050}]","4050","","","","","","","",""
"html-slider-response","17","184083","0.0-9.0-1.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","abilRating","","6405","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","8","your closest friends","","",""
"html-slider-response","18","186988","0.0-9.0-1.1","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","abilRating","","2902","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your high school classmates","","",""
"html-slider-response","19","189385","0.0-9.0-1.2","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","abilRating","","2396","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your acquaintances","","",""
"html-slider-response","20","192312","0.0-9.0-1.3","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","abilRating","","2924","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","2","complete strangers","","",""
"html-slider-response","21","194751","0.0-9.0-1.4","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","abilRating","","2438","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","other prolific workers","","",""
"","","","","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","fullscreenexit","22","194970","fullscreenexit","","","","","","","","","",""
"fullscreen","22","195755","0.0-10.0","63d80b500adef5b476e289a9","bdp_bc","Tue Mar 28 2023 13:33:29 GMT-0400 (Eastern Daylight Time)","195755","","","","","","","true","","","","","","",""
"html-keyboard-response","23","196261","0.0-11.0","","","","","","","","","","null","","","null","","","","",""
