"event","trial","time","trialtype","subject_id","task","startTime","totalTime","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","response","group","fraction","maxAmt","sliderStart"
"","","","decision","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","10","100935","0.0-5.0-1.4","","2983","","","<div class='trialBorder'><div class='vertical-center'><p>On this round, please imagine that you are playing with a group of:<br><strong>complete strangers</strong>.<p>The target value for this round is:<br><strong>1/3 or 33%</strong>.<p><p>Please adjust the slider below to enter the value between 0 and 100 that you think would be equal to <strong>1/3 or 33%</strong> of the average of what a group of <strong>complete strangers</strong> would guess.</div></div>","","20","complete strangers","1/3 or 33%","","50"
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","instructions","11","102684","0.0-6.0","[{""page_index"":0,""viewing_time"":1748}]","1748","","","","","","","","",""
"","","","simRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","12","106703","0.0-7.0-1.0","","4015","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your high school classmates","","",""
"","","","simRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","13","109900","0.0-7.0-1.1","","3196","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","complete strangers","","",""
"","","","simRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","14","113900","0.0-7.0-1.2","","3998","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","7","your acquaintances","","",""
"","","","simRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","15","115784","0.0-7.0-1.3","","1882","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","6","other prolific workers","","",""
"","","","simRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","16","118883","0.0-7.0-1.4","","3097","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how likely <br>(1=Not-at-all likely, 9=Very likely)<br>they would be to think like you</strong>.</div></div>","","8","your closest friends","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","instructions","17","119965","0.0-8.0","[{""page_index"":0,""viewing_time"":1081}]","1081","","","","","","","","",""
"","","","abilRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","18","122668","0.0-9.0-1.0","","2701","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>complete strangers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","complete strangers","","",""
"","","","abilRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","19","124250","0.0-9.0-1.1","","1579","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your closest friends</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","5","your closest friends","","",""
"","","","abilRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","20","126367","0.0-9.0-1.2","","2115","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your high school classmates</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your high school classmates","","",""
"","","","abilRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","21","128367","0.0-9.0-1.3","","1998","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>your acquaintances</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","your acquaintances","","",""
"","","","abilRating","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","html-slider-response","22","130449","0.0-9.0-1.4","","2079","","","<div class='trialBorder'><div class='vertical-center'><p>Think about the group of <strong>other prolific workers</strong> that you imagined earlier.<p><p>Using the slider below, <strong>please rate how well <br>(1=Not-at-all well, 9=Very well)<br>you think they would perform in this game</strong>.</div></div>","","6","other prolific workers","","",""
"blur","23","130672","blurevent","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","2","","","","","","","",""
"focus","23","130686","focusevent","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","","","","","","","","",""
"fullscreenexit","23","130730","fullscreenexit","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","","","","","","","","","","","","","","",""
"","","","","6005fd9c8bbd67931607e518","bdp_bc","Sun Mar 26 2023 09:32:50 GMT-0700 (Pacific Daylight Time)","131458","fullscreen","23","131456","0.0-10.0","","","","true","","","","","","",""
"","","","","","","","","html-keyboard-response","24","131962","0.0-11.0","","null","","","","null","","","","",""
