PROLIFIC_PID,distFromMedQA_lowMC_ltMADCutOff_goodSub,distFromMedQAAll_lowMC_ltMADCutOff_goodSub,Age,Race,HLS_ethnicity,BirthSex,Education,LEC-A_6,LEC-A_7,LEC-A_8,LEC-A_9,LEC-A_10,LEC-A_11,LEC-A_17,LEC-6-FU-Age,LEC-7-FU-Age,LEC-8-FU-Age,LEC-9-FU-Age,LEC-10-FU-Age,LEC-11-FU-Age,LEC-16-FU-Age,trust_rat_mean,trust_rat_std,trust_subjLR_bOC,trust_subjD_bOC,trust_subjNLL_bOC,trust_subjLRTp_bOC,trust_subjLR_3prm,trust_subjD_3prm,trust_subjp0_3prm,trust_subjNLL_3prm,trust_subjLRTp_3prm,trust_BIC_bOC,trust_BIC_3prm,lott_subjLR_bOC,lott_subjD_bOC,lott_subjNLL_bOC,lott_subjLRTp_bOC,lott_subjLR_3prm,lott_subjD_3prm,lott_subjp0_3prm,lott_subjNLL_3prm,lott_subjLRTp_3prm,lott_BIC_bOC,lott_BIC_3prm,trustDiscrim_fitOffset,trustDiscrim_fitScale,trustDiscrim_fitSlope
641ec1a9d9fe8a0941e39862,1,0,44,5,2,1,16,0,0,0,0,0,0,0,,,,,,,,5.733333333,1.11790765,0.050567445,0.851673594,207.2513496,0.001267745,0.050590552,0.850870852,-0.00130275,207.2513383,0.001267729,424.268303,429.1510824,0.194098634,4.54E-05,192.7037975,3.31E-10,0.100848719,4.54E-05,0.857199445,189.8318007,1.75E-11,395.1731989,394.3120072,1.000000041,3.273660772,0.019786535
5b608617208f1c000100bdeb,1,1,34,2,2,1,16,0,0,0,0,0,0,0,,,,,,,,4.7,2.010986772,0.655530913,0.478862431,173.301974,8.91E-19,0.652621151,0.488171875,1,170.7485017,6.72E-20,356.3695519,356.1454092,0.14978373,4.54E-05,190.5495682,3.65E-11,4.54E-05,4.54E-05,1,183.5152605,2.81E-14,390.8647403,381.6789267,1.890454557,2.457727249,0.046569285
63f78c9346da47f7f8f3aef9,1,1,29,5,2,2,15,1,0,1,0,0,0,0,9,,23,,,,,4.933333333,0.482460736,0.522689516,0.999954602,143.1292008,5.30E-32,0.552637748,0.999954602,1,138.7460327,6.42E-34,296.0240054,292.1404712,0.358357924,0.92918848,164.6809652,1.46E-22,0.355244687,0.95165669,0.669771273,163.729267,5.57E-23,339.1275343,342.1069398,2.320439751,1.347756863,-0.000337184
6320e37620d067c7d322246a,1,1,18,5,2,1,11,0,0,0,0,0,0,0,,,,,,,,3.816666667,1.662055769,0.283254096,0.999954602,163.6209778,4.99E-23,0.292345331,0.999954602,0.214683851,163.4985373,4.41E-23,337.0075595,341.6454804,0.057154193,0.786283417,209.3275659,0.012514518,0.036553617,0.663504546,-0.259734888,208.9824216,0.008491512,428.4207357,432.6132491,1.000001159,2.681823979,0.004672168
63dd3dd2593c92be97d8dbde,1,1,20,2,2,1,11,0,0,0,0,0,0,0,,,,,,,,3.833333333,2.210657289,0.429998247,4.54E-05,127.8939606,1.16E-38,0.095101294,4.54E-05,1,112.5480502,2.31E-45,265.5535251,239.7445062,0.3647372,4.54E-05,141.7435971,1.31E-32,0.026836822,4.54E-05,1,124.437793,3.59E-40,293.2527981,263.5239918,2.929672512,0.390654977,0.25
5bfb5784a66aa500019dabef,1,1,43,5,2,1,12,0,0,0,1,0,0,1,,,,11,,,25,5.35,1.634635708,0.991979894,0.043709474,176.298625,1.85E-17,0.997723467,0.042949321,0.165437849,176.2592298,1.78E-17,362.3628538,367.1668654,0.187641496,0.397992718,191.478065,9.43E-11,0.189649079,0.384369811,-0.173152114,191.3674313,8.42E-11,392.7217338,397.3832684,1,3.608941172,0.026965191
6400caf68d8b75041e36f702,0,0,42,3,2,1,16,0,0,0,0,0,0,0,,,,,,,,5.416666667,0.71997332,0.058883652,4.54E-05,203.9939004,3.93E-05,0.006088713,0.999953597,0.817136925,198.6402324,1.48E-07,,,0.035720942,4.54E-05,208.4885544,0.004904013,4.54E-05,4.54E-05,0.430988803,206.6627342,0.000671637,,,3.370108227,0.157511175,0.118893919
610c736500a4b33398fef94f,1,1,33,5,2,1,18,0,0,0,0,0,0,0,,,,,,,,5.066666667,1.006195497,0.345229674,0.514360144,195.6046409,6.49E-09,0.3405993,0.498554306,-0.484249187,195.0582466,3.70E-09,400.9748857,404.764899,0.309660521,0.453391547,193.53253,7.73E-10,0.307598036,0.444176903,-0.237178912,193.3846124,6.64E-10,396.8306638,401.4176306,1.000000002,3.409093023,0.002801506
63174f52c207f299e8f8dc08,1,1,27,5,2,1,12,1,0,0,0,0,0,0,28,,,,,,,5.066666667,0.989207295,0.489392407,0.757790764,183.9856793,4.54E-14,0.474680283,0.740545491,-0.874761629,182.7681046,1.32E-14,377.7369624,380.1846149,0.351044786,0.561934249,197.2612313,3.57E-08,0.340938869,0.543044402,-0.571064918,196.5170039,1.66E-08,404.2880665,407.6824135,2.538368186,1.264172718,0.079040102
631ce86c7a3ce20f628bae05,1,1,29,5,1,1,16,1,0,0,0,0,0,0,25,,,,,,,4.4,1.291432,0.420718132,0.54933976,192.2922999,2.17E-10,0.345925146,0.511532324,-1,190.1719303,2.48E-11,394.3502036,394.9922664,0.099032282,4.54E-05,200.0390189,6.32E-07,0.106689011,4.54E-05,-0.071549732,200.0191513,6.19E-07,409.8436416,414.6867083,1.784018376,1.693326885,0.038663099
