"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","trial_duration","targFace","targCol","targOutcome","corr","numBlurs"
"html-keyboard-response","9","96319","0.0-5.0-1.1","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","10","97822","0.0-5.0-2.1","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_00050_931230_fa_edt.bmp","1","noMatchFace","i","1500","","","","",""
"html-keyboard-response","11","101824","0.0-5.0-3.1","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","12","107700","0.0-5.0-4.1","","5875","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_00050_931230_fa_edt.bmp","1","noMatchFace","i","","trustrating_stim/white_mw003.bmp","green","Share","1",""
"html-keyboard-response","13","108202","0.0-5.0-5.1","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","14","108704","0.0-5.0-1.2","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","15","110207","0.0-5.0-2.2","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw012.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","16","114209","0.0-5.0-3.2","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","17","116469","0.0-5.0-4.2","","2258","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","1","trustrating_stim/white_mw012.bmp","1","Match","e","","trustrating_stim/white_mw012.bmp","green","Share","1",""
"html-keyboard-response","18","116971","0.0-5.0-5.2","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","19","117473","0.0-5.0-1.3","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","20","121975","0.0-5.0-2.3","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,1,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","21","125977","0.0-5.0-3.3","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","22","128299","0.0-5.0-4.3","","2321","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw012.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,1,0","noMatchOutcome","i","","trustrating_stim/white_00807_941205_fb_edt.bmp","green","Share","0",""
"html-keyboard-response","23","128801","0.0-5.0-5.3","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","24","129303","0.0-5.0-1.4","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","25","133806","0.0-5.0-2.4","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","0,1,1","Match","e","4500","","","","",""
"html-keyboard-response","26","137808","0.0-5.0-3.4","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","27","140075","0.0-5.0-4.4","","2266","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","0,1,1","Match","e","","trustrating_stim/white_mw092.bmp","red","Keep","1",""
"html-keyboard-response","28","140577","0.0-5.0-5.4","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","29","141080","0.0-5.0-1.5","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","30","144081","0.0-5.0-2.5","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","0,1","noMatchFace","i","3000","","","","",""
"html-keyboard-response","31","148083","0.0-5.0-3.5","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","32","149607","0.0-5.0-4.5","","1522","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw040.bmp","0,1","noMatchFace","i","","trustrating_stim/white_mw091.bmp","red","Keep","0",""
"html-keyboard-response","33","150109","0.0-5.0-5.5","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"instructions","34","153652","0.0-6.0","[{""page_index"":0,""viewing_time"":3541}]","3542","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","154154","0.0-7.0-1.0","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","36","158656","0.0-7.0-2.0","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0,0","Match","e","4500","","","","",""
"html-keyboard-response","37","162658","0.0-7.0-3.0","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","38","164344","0.0-7.0-4.0","","1684","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","3","trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","1,0,0","Match","e","","trustrating_stim/white_mw092.bmp","green","Share","1",""
"html-keyboard-response","39","164847","0.0-7.0-5.0","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","40","165349","0.0-7.0-1.1","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","41","169851","0.0-7.0-2.1","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0,0","noMatchOutcome","i","4500","","","","",""
"html-keyboard-response","42","173854","0.0-7.0-3.1","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","43","182084","0.0-7.0-4.1","","8230","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","3","trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0,0","noMatchOutcome","i","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","1",""
"html-keyboard-response","44","182586","0.0-7.0-5.1","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","45","183088","0.0-7.0-1.2","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","46","186091","0.0-7.0-2.2","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,1","noMatchOutcome","i","3000","","","","",""
"html-keyboard-response","47","190095","0.0-7.0-3.2","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","48","217571","0.0-7.0-4.2","","27475","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw012.bmp","0,1","noMatchOutcome","i","","trustrating_stim/white_mw012.bmp","red","Keep","0",""
"html-keyboard-response","49","218074","0.0-7.0-5.2","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","50","218576","0.0-7.0-1.3","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","51","220078","0.0-7.0-2.3","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv1'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","1","trustrating_stim/white_mw070.bmp","1","Match","e","1500","","","","",""
"html-keyboard-response","52","224080","0.0-7.0-3.3","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","53","225136","0.0-7.0-4.3","","1054","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","1","trustrating_stim/white_mw070.bmp","1","Match","e","","trustrating_stim/white_mw070.bmp","green","Share","0",""
"html-keyboard-response","54","225638","0.0-7.0-5.3","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","55","226140","0.0-7.0-1.4","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","56","229142","0.0-7.0-2.4","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchFace","i","3000","","","","",""
"html-keyboard-response","57","233144","0.0-7.0-3.4","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","58","234550","0.0-7.0-4.4","","1405","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","e","2","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw015.bmp","0,1","noMatchFace","i","","trustrating_stim/white_00050_931230_fa_edt.bmp","green","Share","0",""
"html-keyboard-response","59","235052","0.0-7.0-5.4","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'><font style='color:orange'>Match<br>(e)</font></div><div class='respDivR'>No Match<br>(i)</div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","60","235554","0.0-7.0-1.5","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","61","238557","0.0-7.0-2.5","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv2'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw092.bmp","0,1","Match","e","3000","","","","",""
"html-keyboard-response","62","242559","0.0-7.0-3.5","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","63","243133","0.0-7.0-4.5","","573","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw092.bmp","0,1","Match","e","","trustrating_stim/white_mw092.bmp","green","Share","0",""
"html-keyboard-response","64","243636","0.0-7.0-5.5","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","65","244138","0.0-7.0-1.6","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","66","248640","0.0-7.0-2.6","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div>","null","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw038.bmp","1,0,1","noMatchFace","i","4500","","","","",""
"html-keyboard-response","67","252642","0.0-7.0-3.6","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","68","252828","0.0-7.0-4.6","","185","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","3","trustrating_stim/white_mw091.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw038.bmp","1,0,1","noMatchFace","i","","trustrating_stim/white_mw013.bmp","green","Share","1",""
"html-keyboard-response","69","253329","0.0-7.0-5.6","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/correct.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","70","253831","0.0-7.0-1.7","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","71","258334","0.0-7.0-2.7","","null","","","","ARRAY","","<div class='trialBorder'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='arrayDiv3'><div class='tl'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div><div class='tc'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div><div class='tr'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div>","null","3","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw015.bmp","1,0,0","Match","e","4500","","","","",""
"html-keyboard-response","72","262336","0.0-7.0-3.7","","null","","","","DELAY","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","73","263559","0.0-7.0-4.7","","1221","","","","TARGET","","<div class='trialBorder'><div class='targDiv'><div class='tc'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'>No Match<br>(i)</div></div></div>","i","3","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw091.bmp,trustrating_stim/white_mw015.bmp","1,0,0","Match","e","","trustrating_stim/white_mw033.bmp","green","Share","0",""
"html-keyboard-response","74","264061","0.0-7.0-5.7","","null","","","","FEEDBACK","","<div class='trialBorder'><div class='vertical-center'><img src='img/error.jpg'></div><div class='respDiv'><div class='respDivL'>Match<br>(e)</div><div class='respDivR'><font style='color:orange'>No Match<br>(i)</font></div></div></div>","null","","","","","","","","","","",""
"html-keyboard-response","75","264563","0.0-7.0-1.8","","null","","","","FIX","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","","","",""
