"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","arraySize","arrayFaces","arrayOutcomes","matchType","corrResp","targFace","targCol","targOutcome","corr"
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","51","114925","0.0-7.0-4.1","","1235","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw012.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp","0,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","52","115130","0.0-7.0-5.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","53","115650","0.0-7.0-6.1","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","54","115970","0.0-7.0-1.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","55","117989","0.0-7.0-2.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","56","119489","0.0-7.0-3.2","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","57","121123","0.0-7.0-4.2","","1632","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw092.bmp","0,1","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","58","121330","0.0-7.0-5.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","59","121850","0.0-7.0-6.2","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","60","122170","0.0-7.0-1.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","61","124189","0.0-7.0-2.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp","1,0,0,1,1,0","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","62","125710","0.0-7.0-3.3","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","63","127067","0.0-7.0-4.3","","1357","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_mw091.bmp","1,0,0,1,1,0","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","64","127269","0.0-7.0-5.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","65","127769","0.0-7.0-6.3","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","66","128089","0.0-7.0-1.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","67","130109","0.0-7.0-2.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw015.bmp","0,1","Match","e","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","68","131629","0.0-7.0-3.4","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","69","133929","0.0-7.0-4.4","","2299","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","2","trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw015.bmp","0,1","Match","e","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","70","134149","0.0-7.0-5.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","71","134669","0.0-7.0-6.4","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","72","134989","0.0-7.0-1.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","73","137009","0.0-7.0-2.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","74","138528","0.0-7.0-3.5","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","75","139713","0.0-7.0-4.5","","1184","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","2","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw092.bmp","1,0","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","76","139928","0.0-7.0-5.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw003.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","77","140448","0.0-7.0-6.5","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","78","140769","0.0-7.0-1.6","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","79","142789","0.0-7.0-2.6","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv4'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00807_941205_fb_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw015.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","4","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0,0,1","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","80","144309","0.0-7.0-3.6","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","81","145898","0.0-7.0-4.6","","1588","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","4","trustrating_stim/white_mw013.bmp,trustrating_stim/white_00807_941205_fb_edt.bmp,trustrating_stim/white_mw015.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp","1,0,0,1","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","0"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","82","146109","0.0-7.0-5.6","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","83","146628","0.0-7.0-6.6","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","84","146948","0.0-7.0-1.7","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","85","148968","0.0-7.0-2.7","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw033.bmp","1,0,1,0,0,1","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","86","150489","0.0-7.0-3.7","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","87","151978","0.0-7.0-4.7","","1489","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","i","6","trustrating_stim/white_mw012.bmp,trustrating_stim/white_mw013.bmp,trustrating_stim/white_mw038.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw033.bmp","1,0,1,0,0,1","noMatchFace","i","trustrating_stim/white_mw092.bmp","green","Share","1"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","88","152188","0.0-7.0-5.7","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw091.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'><font style='color:orange'>No Match<p>(i)</font></div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","89","152705","0.0-7.0-6.7","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/correct.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","90","153028","0.0-7.0-1.8","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","91","155048","0.0-7.0-2.8","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv6'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw033.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='tr'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw012.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bl'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_00050_931230_fa_edt.bmp'><br><font color='red'><strong>Keep</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw070.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='br'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw038.bmp'><br><font color='green'><strong>Share</strong></font></div></div></div></div></div>","null","6","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","1,0,0,0,1,1","noMatchOutcome","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","92","156568","0.0-7.0-3.8","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","TARGET","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","93","159361","0.0-7.0-4.8","","2791","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'>Match<p>(e)</div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","e","6","trustrating_stim/white_mw033.bmp,trustrating_stim/white_mw092.bmp,trustrating_stim/white_mw012.bmp,trustrating_stim/white_00050_931230_fa_edt.bmp,trustrating_stim/white_mw070.bmp,trustrating_stim/white_mw038.bmp","1,0,0,0,1,1","noMatchOutcome","i","trustrating_stim/white_mw092.bmp","green","Share","0"
"","","","KEYFB","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","94","159567","0.0-7.0-5.8","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw092.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='respDivL'><font style='color:orange'>Match<p>(e)</font></div><div class='respDivR'>No Match<p>(i)</div></div></div></div>","null","","","","","","","","",""
"","","","FEEDBACK","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","95","160088","0.0-7.0-6.8","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialFBDiv'><div class='trialDiv1'><div class='vertical-center'><img src='img/error.jpg'></div></div></div></div></div>","null","","","","","","","","",""
"","","","FIX","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","96","160408","0.0-7.0-1.9","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
"","","","ARRAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","97","162428","0.0-7.0-2.9","","null","","<div class='trialBorder'><div class='vertical-center'><div class='trialDiv2'><div class='vertical-center'><img style='vertical-align:center; align:center' src='img/fixation2_sml.jpg'></div><div class='tc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw040.bmp'><br><font color='green'><strong>Share</strong></font></div></div><div class='bc'><div class='vertical-center'><img class='introPic' src='trustrating_stim/white_mw013.bmp'><br><font color='red'><strong>Keep</strong></font></div></div></div></div></div>","null","2","trustrating_stim/white_mw040.bmp,trustrating_stim/white_mw013.bmp","1,0","noMatchFace","i","","","",""
"","","","DELAY","pilottest","bdp_wmem","Tue Nov 24 2020 12:50:37 GMT-0500 (Eastern Standard Time)","166907","Match,No Match","html-keyboard-response","98","163948","0.0-7.0-3.9","","null","","<div class='trialBorder'><div class='vertical-center'><img src='img/fixation2_sml.jpg'</img></div></div>","null","","","","","","","","",""
