PROLIFIC_PID,totalTime,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv,subj2LR_posOC,subj2LR_negOC,subj2p0_3prm,subj2NLL_biasedOC,subj2LRTp_biasedOC,subj2LR_biasedOC
633fa968afc8d3d2c0d8745c,449.022,0.1439393939393939,0.0,0.2651515151515151,12.07,0.0,0.0,0.0,10.57,0.0,0.0132225650856369,0.2689414213699951,1.0,427.01328016657214,1.0,
5c3161130cfe9a00012f71ff,282.039,0.7954545454545454,0.0,0.5909090909090909,2.79,0.0,0.0,0.1666666666666666,2.4,0.0,0.1157708824070058,0.2689414213699951,1.0,370.2171401959682,1.3609057230708625e-25,
5f1f3581b5cf3e103cc545c9,689.277,0.0,0.0075757575757575,0.2424242424242424,10.55,0.0,0.0,0.1666666666666666,20.34,1.0,0.0149345477314213,0.7310585786300049,0.735159564400756,413.3434528994901,1.540859669613268e-06,-0.7161240308985836
63d42387aba51e699ab9ce5c,283.1,0.6590909090909091,0.0075757575757575,0.0681818181818181,2.88,0.1666666666666666,0.0,0.0,4.94,0.0,0.0594731305648573,0.1192029220221175,1.0,412.49365291461606,6.373249376847405e-07,
5fa935b3d330fa0429da624a,389.613,0.0075757575757575,0.0,0.2348484848484848,2.54,0.0,0.0,0.0,5.89,0.0,0.0823832275991654,0.7310585786300049,1.0,401.74695938785135,1.0201962623702527e-11,
63d97863bc1e08294519edd8,384.577,0.2348484848484848,0.0,0.6666666666666666,4.38,0.0,0.0,0.0,17.37,0.0,0.1853559850258146,0.1192029220221175,0.5352608840987739,351.433361251308,8.184380497389641e-34,
60fefd59226b2b1d87bc36db,802.65,0.0151515151515151,0.0303030303030303,0.3106060606060606,20.0,0.0,0.1666666666666666,0.1666666666666666,223.45,0.0,0.1254430987019444,0.5,1.0,381.975613330436,1.9589129501006582e-20,
5f5691fb24d1090e6bcdf1ec,443.622,0.1363636363636363,0.0,0.1590909090909091,9.91,0.0,0.0,0.1666666666666666,33.45,0.0,0.0301233460508223,0.5,0.8185118444739977,420.25079915993246,0.0023146469927657,
5d5606cd4171ec00182e2b15,326.668,0.7727272727272727,0.0075757575757575,0.7121212121212122,5.8,0.1666666666666666,0.0,0.3333333333333333,4.92,1.0,0.124243153067874,0.1192029220221175,1.0,383.3210168704361,7.639732163892341e-20,
6162341a644c08d5cca4b7bb,481.351,0.0303030303030303,0.0,0.2575757575757575,4.06,0.0,0.0,0.1666666666666666,31.98,0.0,0.058899786513352,0.5,0.950468200106616,411.2470806660937,1.752001922672109e-07,-0.4411002134866479
6400de8f305c51d03c2a9a0e,380.175,0.2424242424242424,0.0,0.1818181818181818,1.94,0.0,0.0,0.0,8.9,0.0,4.53978687024344e-05,0.8807970779778824,0.7751243383885931,407.65274390256815,4.311562446058478e-09,
5b184f9768a5ed0001734190,720.175,0.0151515151515151,0.0,0.2196969696969697,214.37,0.0,0.0,0.5,41.08,0.0,6.46766029687833e-05,0.7310585786300049,0.9943841737487568,423.2188380104668,0.0673872930451975,
56b8de29e1d0a200051517f8,412.837,0.0,0.0,0.6893939393939394,9.92,0.0,0.0,0.1666666666666666,15.4,0.0,4.53978687024344e-05,0.1192029220221175,0.8274924082891397,412.897536828085,9.693074123207356e-07,
63fba157c9ebcb0ba6397872,377.702,0.303030303030303,0.0,0.3333333333333333,2.81,0.0,0.0,0.3333333333333333,10.03,0.0,0.0430759274261789,0.1192029220221175,1.0,417.4355203396109,0.0001126336011363,
63e802622f8052bd67d6c5f0,381.973,0.0151515151515151,0.0,0.2954545454545454,5.63,0.0,0.0,0.0,11.98,0.0,0.0434119804285774,0.5,1.0,417.4047080692993,0.000109014207514,
63d413840c9c512ac3dfc533,343.548,0.1212121212121212,0.0,0.6363636363636364,1.12,0.0,0.0,0.0,8.36,0.0,0.3728588761756603,0.8807970779778824,1.0,312.6861569669065,9.86950367126278e-51,
63ed15bed4665c62d9e6dbb2,1424.679,0.8484848484848485,0.0,0.5075757575757576,922.96,0.0,0.0,0.0,159.6,0.0,4.53978687024344e-05,0.2689414213699951,0.9945941089080764,423.2206480321877,0.0675356903891705,-0.2688960235012926
63e1f5009f56fcb831963f19,690.201,0.3106060606060606,0.0227272727272727,0.2272727272727272,33.06,0.0,0.0,0.1666666666666666,74.28,0.0,0.0299360649388529,0.8807970779778824,1.0,422.6484074782458,0.0341654962606389,
5c4e31b37065de00011f795d,1070.254,0.0,0.0606060606060606,0.7424242424242424,65.57,0.0,0.1666666666666666,0.6666666666666666,53.38,0.0,4.53978687024344e-05,0.2689414213699951,-0.3798563827795679,197.68081528169265,7.868033275153882e-101,
572041d6fd3a5200093c1295,311.041,0.6818181818181818,0.0,0.6515151515151515,2.0,0.0,0.0,0.1666666666666666,11.1,0.0,0.0125226770045563,0.2689414213699951,1.0,430.8091321332236,1.0,
63d41088860131e49a85cfac,440.54,0.0833333333333333,0.0,0.1590909090909091,17.55,0.0,0.0,0.0,18.78,0.0,0.0961744316289552,0.8807970779778824,1.0,394.4204885459022,5.877412862199105e-15,
6400e1e1c539ed3882af8d8f,886.013,0.0,0.0,0.3257575757575757,23.12,0.0,0.0,0.0,112.34,1.0,0.0706546154748457,0.8807970779778824,-0.3217441105541152,340.06560663006985,8.813991349163708e-39,
63f2e107c4d0bc684b99d2c6,405.341,0.2954545454545454,0.0,0.6287878787878788,3.21,0.0,0.0,0.8333333333333334,17.66,0.0,0.0017283849209651,0.5,1.0,425.1603489033946,1.0,
5f43ef4041bb5f11a27aa07e,541.79,0.0151515151515151,0.0,0.2196969696969697,17.05,0.0,0.1666666666666666,0.1666666666666666,40.69,0.0,0.0199291853607987,0.5,1.0,426.8199491869252,1.0,-0.4800708146392013
5dbf692c2a1dd63f64ef5ae4,506.952,0.3106060606060606,0.0,0.6363636363636364,8.44,0.0,0.0,0.5,40.78,0.0,0.0682320984031112,0.5,-1.0,200.9791223869084,2.145182087660444e-99,
