"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","numBlurs","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","8","59463","0.0-6.0-2.1","","null","","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","9","60516","0.0-6.0-1.2","","950","","","trustrating_stim/white_00109_931230_fa_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","10","60727","0.0-6.0-2.2","","null","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","11","63300","0.0-6.0-1.3","","2472","","","trustrating_stim/white_mw071.bmp","2","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","12","63508","0.0-6.0-2.3","","null","","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","13","72685","0.0-6.0-1.4","","9067","","","trustrating_stim/white_mw097.bmp","2","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","14","72889","0.0-6.0-2.4","","null","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","15","74573","0.0-6.0-1.5","","1583","","","trustrating_stim/white_mw053.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","16","74776","0.0-6.0-2.5","","null","","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","17","77462","0.0-6.0-1.6","","2577","","","trustrating_stim/white_00659_941121_fa_edt.bmp","2","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","18","77666","0.0-6.0-2.6","","null","","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","19","79381","0.0-6.0-1.7","","1603","","","trustrating_stim/white_mw066.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","20","79586","0.0-6.0-2.7","","null","","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","21","80803","0.0-6.0-1.8","","1105","","","trustrating_stim/white_00129_931230_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","22","81018","0.0-6.0-2.8","","null","","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","23","82669","0.0-6.0-1.9","","1549","","","trustrating_stim/white_00577_940928_fa_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","24","82878","0.0-6.0-2.9","","null","","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","25","85068","0.0-6.0-1.10","","2081","","","trustrating_stim/white_00807_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","26","85279","0.0-6.0-2.10","","null","","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","27","86652","0.0-6.0-1.11","","1261","","","trustrating_stim/white_mw033.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","28","86865","0.0-6.0-2.11","","null","","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","29","88564","0.0-6.0-1.12","","1591","","","trustrating_stim/white_mw089.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","30","88765","0.0-6.0-2.12","","null","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","31","90549","0.0-6.0-1.13","","1674","","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","32","90754","0.0-6.0-2.13","","null","","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","33","92869","0.0-6.0-1.14","","2003","","","trustrating_stim/white_mw060.bmp","1","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","34","93074","0.0-6.0-2.14","","null","","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","35","94710","0.0-6.0-1.15","","1534","","","trustrating_stim/white_00602_940928_fb_edt.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","36","94925","0.0-6.0-2.15","","null","","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","37","97877","0.0-6.0-1.16","","2850","","","trustrating_stim/white_mw084.bmp","4","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","38","98086","0.0-6.0-2.16","","null","","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","39","99861","0.0-6.0-1.17","","1665","","","trustrating_stim/white_mw056.bmp","4","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","40","100068","0.0-6.0-2.17","","null","","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","41","101861","0.0-6.0-1.18","","1683","","","trustrating_stim/white_00785_941205_fb_edt.bmp","5","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","42","102068","0.0-6.0-2.18","","null","","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","43","104429","0.0-6.0-1.19","","2252","","","trustrating_stim/white_00223_940128_fb_edt.bmp","6","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","44","104631","0.0-6.0-2.19","","null","","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","45","110741","0.0-6.0-1.20","","6007","","","trustrating_stim/white_00299_940422_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","46","110953","0.0-6.0-2.20","","null","","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","47","112749","0.0-6.0-1.21","","1695","","","trustrating_stim/white_00898_960530_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","48","112953","0.0-6.0-2.21","","null","","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","49","115325","0.0-6.0-1.22","","2262","","","trustrating_stim/white_mw049.bmp","8","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","50","115534","0.0-6.0-2.22","","null","","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","51","133205","0.0-6.0-1.23","","17559","","","trustrating_stim/white_mw063.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","52","133414","0.0-6.0-2.23","","null","","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","53","135565","0.0-6.0-1.24","","2037","","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","54","135774","0.0-6.0-2.24","","null","","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","55","137389","0.0-6.0-1.25","","1506","","","trustrating_stim/white_00340_940422_fa_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","56","137602","0.0-6.0-2.25","","null","","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","57","138926","0.0-6.0-1.26","","1210","","","trustrating_stim/white_mw046.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","58","139136","0.0-6.0-2.26","","null","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","59","140166","0.0-6.0-1.27","","920","","","trustrating_stim/white_mw035.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","60","140382","0.0-6.0-2.27","","null","","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","61","142366","0.0-6.0-1.28","","1875","","","trustrating_stim/white_mw048.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","62","142577","0.0-6.0-2.28","","null","","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","63","144695","0.0-6.0-1.29","","2006","","","trustrating_stim/white_00761_941201_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","64","144907","0.0-6.0-2.29","","null","","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","65","146094","0.0-6.0-1.30","","1077","","","trustrating_stim/white_00602_940928_fb_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","66","146305","0.0-6.0-2.30","","null","","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","67","147277","0.0-6.0-1.31","","862","","","trustrating_stim/white_00109_931230_fa_edt.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","68","147488","0.0-6.0-2.31","","null","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","69","149965","0.0-6.0-1.32","","2366","","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","70","150172","0.0-6.0-2.32","","null","","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","71","151365","0.0-6.0-1.33","","1081","","","trustrating_stim/white_mw089.bmp","3","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","72","151569","0.0-6.0-2.33","","null","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","73","154310","0.0-6.0-1.34","","2630","","","trustrating_stim/white_mw033.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","74","154517","0.0-6.0-2.34","","null","","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","75","164535","0.0-6.0-1.35","","9905","","","trustrating_stim/white_00785_941205_fb_edt.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","76","164745","0.0-6.0-2.35","","null","","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","77","167111","0.0-6.0-1.36","","2254","","","trustrating_stim/white_00519_940519_fb_edt.bmp","1","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","78","167318","0.0-6.0-2.36","","null","","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","79","169117","0.0-6.0-1.37","","1690","","","trustrating_stim/white_mw046.bmp","7","","","","","","","","","","",""
"","","","ratingFB","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","80","169325","0.0-6.0-2.37","","null","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","",""
"","","","rating","6362c4beb39ee39d15890c5c","bdp_trlrn","Mon Mar 13 2023 23:49:07 GMT-0400 (Eastern Daylight Time)","865929","Trustworthy,Untrustworthy","image-keyboard-response","81","170965","0.0-6.0-1.38","","1529","","","trustrating_stim/white_00299_940422_fa_edt.bmp","3","","","","","","","","","","",""
