"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round","numBlurs"
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","9","18001","0.0-6.0-2.1","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","10","18326","0.0-6.0-1.2","","219","","trustrating_stim/white_00785_941205_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","11","18530","0.0-6.0-2.2","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","12","18880","0.0-6.0-1.3","","248","","trustrating_stim/white_mw099.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","13","19085","0.0-6.0-2.3","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","14","19366","0.0-6.0-1.4","","176","","trustrating_stim/white_00109_931230_fa_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","15","19571","0.0-6.0-2.4","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","16","19879","0.0-6.0-1.5","","205","","trustrating_stim/white_mw016.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","17","20083","0.0-6.0-2.5","","null","","trustrating_stim/white_mw016.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","18","20329","0.0-6.0-1.6","","139","","trustrating_stim/white_mw013.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","19","20532","0.0-6.0-2.6","","null","","trustrating_stim/white_mw013.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","20","20802","0.0-6.0-1.7","","166","","trustrating_stim/white_mw071.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","21","21008","0.0-6.0-2.7","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","22","21256","0.0-6.0-1.8","","142","","trustrating_stim/white_00761_941201_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","23","21462","0.0-6.0-2.8","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","24","21751","0.0-6.0-1.9","","185","","trustrating_stim/white_mw080.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","25","21954","0.0-6.0-2.9","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","26","22198","0.0-6.0-1.10","","139","","trustrating_stim/white_mw057.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","27","22402","0.0-6.0-2.10","","null","","trustrating_stim/white_mw057.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","28","22678","0.0-6.0-1.11","","172","","trustrating_stim/white_mw054.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","29","22884","0.0-6.0-2.11","","null","","trustrating_stim/white_mw054.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","30","23119","0.0-6.0-1.12","","128","","trustrating_stim/white_00223_940128_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","31","23325","0.0-6.0-2.12","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","32","23584","0.0-6.0-1.13","","153","","trustrating_stim/white_00897_960530_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","33","23790","0.0-6.0-2.13","","null","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","34","24039","0.0-6.0-1.14","","144","","trustrating_stim/white_mw097.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","35","24245","0.0-6.0-2.14","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","36","24526","0.0-6.0-1.15","","175","","trustrating_stim/white_00960_960627_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","37","24731","0.0-6.0-2.15","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","38","24937","0.0-6.0-1.16","","101","","trustrating_stim/white_mw006.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","39","25141","0.0-6.0-2.16","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","40","25383","0.0-6.0-1.17","","136","","trustrating_stim/white_mw025.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","41","25589","0.0-6.0-2.17","","null","","trustrating_stim/white_mw025.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","42","25823","0.0-6.0-1.18","","131","","trustrating_stim/white_mw035.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","43","26024","0.0-6.0-2.18","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","44","26268","0.0-6.0-1.19","","137","","trustrating_stim/white_mw058.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","45","26471","0.0-6.0-2.19","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","46","26658","0.0-6.0-1.20","","82","","trustrating_stim/white_mw044.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","47","26861","0.0-6.0-2.20","","null","","trustrating_stim/white_mw044.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","48","27051","0.0-6.0-1.21","","85","","trustrating_stim/white_00602_940928_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","49","27254","0.0-6.0-2.21","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","50","27509","0.0-6.0-1.22","","149","","trustrating_stim/white_mw022.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","51","27713","0.0-6.0-2.22","","null","","trustrating_stim/white_mw022.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","52","27858","0.0-6.0-1.23","","40","","trustrating_stim/white_mw051.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","53","28062","0.0-6.0-2.23","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","54","28313","0.0-6.0-1.24","","146","","trustrating_stim/white_mw085.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","55","28520","0.0-6.0-2.24","","null","","trustrating_stim/white_mw085.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","56","28791","0.0-6.0-1.25","","166","","trustrating_stim/white_mw089.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","57","28997","0.0-6.0-2.25","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","58","29193","0.0-6.0-1.26","","92","","trustrating_stim/white_mw084.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","59","29398","0.0-6.0-2.26","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","60","29662","0.0-6.0-1.27","","162","","trustrating_stim/white_mw072.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","61","29866","0.0-6.0-2.27","","null","","trustrating_stim/white_mw072.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","62","30139","0.0-6.0-1.28","","166","","trustrating_stim/white_mw066.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","63","30346","0.0-6.0-2.28","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","64","30552","0.0-6.0-1.29","","101","","trustrating_stim/white_00807_941205_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","65","30755","0.0-6.0-2.29","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","66","30985","0.0-6.0-1.30","","128","","trustrating_stim/white_00757_941201_fa_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","67","31192","0.0-6.0-2.30","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","68","31306","0.0-6.0-1.31","","8","","trustrating_stim/white_mw082.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","69","31512","0.0-6.0-2.31","","null","","trustrating_stim/white_mw082.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","70","31635","0.0-6.0-1.32","","18","","trustrating_stim/white_mw012.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","71","31840","0.0-6.0-2.32","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","72","32227","0.0-6.0-1.33","","280","","trustrating_stim/white_mw043.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","73","32433","0.0-6.0-2.33","","null","","trustrating_stim/white_mw043.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","74","32614","0.0-6.0-1.34","","76","","trustrating_stim/white_00120_931230_fa_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","75","32816","0.0-6.0-2.34","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","76","34051","0.0-6.0-1.35","","1129","","trustrating_stim/white_mw040.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","77","34256","0.0-6.0-2.35","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","78","34520","0.0-6.0-1.36","","161","","trustrating_stim/white_00658_941121_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","79","34726","0.0-6.0-2.36","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","80","34848","0.0-6.0-1.37","","17","","trustrating_stim/white_mw004.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","81","35050","0.0-6.0-2.37","","null","","trustrating_stim/white_mw004.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","82","35165","0.0-6.0-1.38","","11","","trustrating_stim/white_00657_941121_fa_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","83","35370","0.0-6.0-2.38","","null","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","84","35503","0.0-6.0-1.39","","28","","trustrating_stim/white_00253_940128_fa_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","image-keyboard-response","85","35708","0.0-6.0-2.39","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","instructions","86","37443","0.0-7.0","[{""page_index"":0,""viewing_time"":1629}]","1629","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","instructions","87","68094","0.0-8.0","[{""page_index"":0,""viewing_time"":7991},{""page_index"":1,""viewing_time"":11432},{""page_index"":2,""viewing_time"":1093},{""page_index"":3,""viewing_time"":5874},{""page_index"":4,""viewing_time"":2167},{""page_index"":5,""viewing_time"":799},{""page_index"":6,""viewing_time"":1190}]","30547","","","","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","html-keyboard-response","88","73020","0.0-9.0","","4923","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","html-keyboard-response","89","76504","0.0-10.0","","3378","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p style='color:#00FF00'>b) 1</p><p>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"","","","","asf1294","bdp_trlrn","Tue Mar 01 2022 11:21:26 GMT-0500 (Eastern Standard Time)","319341","Untrustworthy,Trustworthy","html-keyboard-response","90","80775","0.0-11.0","","4167","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","A","","","","","","","","","",""
