"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","numBlurs"
"image-keyboard-response","24","59057","0.0-6.0-2.9","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null",""
"image-keyboard-response","25","61211","0.0-6.0-1.10","","2045","","","","rating","","trustrating_stim/white_00577_940928_fa_edt.bmp","4",""
"image-keyboard-response","26","61414","0.0-6.0-2.10","","null","","","","ratingFB","","trustrating_stim/white_00577_940928_fa_edt.bmp","null",""
"image-keyboard-response","27","62729","0.0-6.0-1.11","","1199","","","","rating","","trustrating_stim/white_mw035.bmp","4",""
"image-keyboard-response","28","62936","0.0-6.0-2.11","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null",""
"image-keyboard-response","29","65760","0.0-6.0-1.12","","2706","","","","rating","","trustrating_stim/white_mw063.bmp","6",""
"image-keyboard-response","30","65970","0.0-6.0-2.12","","null","","","","ratingFB","","trustrating_stim/white_mw063.bmp","null",""
"image-keyboard-response","31","67470","0.0-6.0-1.13","","1385","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","7",""
"image-keyboard-response","32","67680","0.0-6.0-2.13","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null",""
"image-keyboard-response","33","69652","0.0-6.0-1.14","","1861","","","","rating","","trustrating_stim/white_00757_941201_fa_edt.bmp","7",""
"image-keyboard-response","34","69866","0.0-6.0-2.14","","null","","","","ratingFB","","trustrating_stim/white_00757_941201_fa_edt.bmp","null",""
"image-keyboard-response","35","71412","0.0-6.0-1.15","","1440","","","","rating","","trustrating_stim/white_mw049.bmp","4",""
"image-keyboard-response","36","71617","0.0-6.0-2.15","","null","","","","ratingFB","","trustrating_stim/white_mw049.bmp","null",""
"image-keyboard-response","37","73358","0.0-6.0-1.16","","1635","","","","rating","","trustrating_stim/white_mw089.bmp","4",""
"image-keyboard-response","38","73576","0.0-6.0-2.16","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null",""
"image-keyboard-response","39","75409","0.0-6.0-1.17","","1728","","","","rating","","trustrating_stim/white_mw056.bmp","2",""
"image-keyboard-response","40","75613","0.0-6.0-2.17","","null","","","","ratingFB","","trustrating_stim/white_mw056.bmp","null",""
"image-keyboard-response","41","77660","0.0-6.0-1.18","","1934","","","","rating","","trustrating_stim/white_mw097.bmp","5",""
"image-keyboard-response","42","77886","0.0-6.0-2.18","","null","","","","ratingFB","","trustrating_stim/white_mw097.bmp","null",""
