"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round","numBlurs"
"image-keyboard-response","31","15233","0.0-6.0-1.13","","141","","","","rating","","trustrating_stim/white_mw006.bmp","8","","","","","","","","","",""
"image-keyboard-response","32","15437","0.0-6.0-2.13","","null","","","","ratingFB","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"image-keyboard-response","33","15608","0.0-6.0-1.14","","69","","","","rating","","trustrating_stim/white_00120_931230_fa_edt.bmp","2","","","","","","","","","",""
"image-keyboard-response","34","15811","0.0-6.0-2.14","","null","","","","ratingFB","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","35","15992","0.0-6.0-1.15","","80","","","","rating","","trustrating_stim/white_mw046.bmp","8","","","","","","","","","",""
"image-keyboard-response","36","16197","0.0-6.0-2.15","","null","","","","ratingFB","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","",""
"image-keyboard-response","37","16400","0.0-6.0-1.16","","99","","","","rating","","trustrating_stim/white_mw004.bmp","4","","","","","","","","","",""
"image-keyboard-response","38","16604","0.0-6.0-2.16","","null","","","","ratingFB","","trustrating_stim/white_mw004.bmp","null","","","","","","","","","",""
"image-keyboard-response","39","16784","0.0-6.0-1.17","","76","","","","rating","","trustrating_stim/white_00761_941201_fb_edt.bmp","7","","","","","","","","","",""
"image-keyboard-response","40","16986","0.0-6.0-2.17","","null","","","","ratingFB","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","41","17168","0.0-6.0-1.18","","79","","","","rating","","trustrating_stim/white_00602_940928_fb_edt.bmp","3","","","","","","","","","",""
"image-keyboard-response","42","17370","0.0-6.0-2.18","","null","","","","ratingFB","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","43","17536","0.0-6.0-1.19","","63","","","","rating","","trustrating_stim/white_mw043.bmp","8","","","","","","","","","",""
"image-keyboard-response","44","17739","0.0-6.0-2.19","","null","","","","ratingFB","","trustrating_stim/white_mw043.bmp","null","","","","","","","","","",""
"image-keyboard-response","45","17913","0.0-6.0-1.20","","67","","","","rating","","trustrating_stim/white_00785_941205_fb_edt.bmp","3","","","","","","","","","",""
"image-keyboard-response","46","18115","0.0-6.0-2.20","","null","","","","ratingFB","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","47","18296","0.0-6.0-1.21","","80","","","","rating","","trustrating_stim/white_mw013.bmp","6","","","","","","","","","",""
"image-keyboard-response","48","18498","0.0-6.0-2.21","","null","","","","ratingFB","","trustrating_stim/white_mw013.bmp","null","","","","","","","","","",""
"image-keyboard-response","49","18680","0.0-6.0-1.22","","80","","","","rating","","trustrating_stim/white_mw084.bmp","3","","","","","","","","","",""
"image-keyboard-response","50","18883","0.0-6.0-2.22","","null","","","","ratingFB","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","",""
"image-keyboard-response","51","19064","0.0-6.0-1.23","","77","","","","rating","","trustrating_stim/white_00897_960530_fb_edt.bmp","8","","","","","","","","","",""
"image-keyboard-response","52","19266","0.0-6.0-2.23","","null","","","","ratingFB","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","53","19456","0.0-6.0-1.24","","86","","","","rating","","trustrating_stim/white_mw066.bmp","2","","","","","","","","","",""
"image-keyboard-response","54","19662","0.0-6.0-2.24","","null","","","","ratingFB","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","",""
"image-keyboard-response","55","19857","0.0-6.0-1.25","","93","","","","rating","","trustrating_stim/white_mw022.bmp","7","","","","","","","","","",""
"image-keyboard-response","56","20058","0.0-6.0-2.25","","null","","","","ratingFB","","trustrating_stim/white_mw022.bmp","null","","","","","","","","","",""
"image-keyboard-response","57","20256","0.0-6.0-1.26","","97","","","","rating","","trustrating_stim/white_mw040.bmp","4","","","","","","","","","",""
"image-keyboard-response","58","20459","0.0-6.0-2.26","","null","","","","ratingFB","","trustrating_stim/white_mw040.bmp","null","","","","","","","","","",""
"image-keyboard-response","59","20600","0.0-6.0-1.27","","39","","","","rating","","trustrating_stim/white_mw035.bmp","6","","","","","","","","","",""
"image-keyboard-response","60","20804","0.0-6.0-2.27","","null","","","","ratingFB","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","",""
"image-keyboard-response","61","21056","0.0-6.0-1.28","","151","","","","rating","","trustrating_stim/white_00223_940128_fb_edt.bmp","6","","","","","","","","","",""
"image-keyboard-response","62","21261","0.0-6.0-2.28","","null","","","","ratingFB","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","63","21536","0.0-6.0-1.29","","170","","","","rating","","trustrating_stim/white_00109_931230_fa_edt.bmp","6","","","","","","","","","",""
"image-keyboard-response","64","21741","0.0-6.0-2.29","","null","","","","ratingFB","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","65","22000","0.0-6.0-1.30","","156","","","","rating","","trustrating_stim/white_mw025.bmp","6","","","","","","","","","",""
"image-keyboard-response","66","22203","0.0-6.0-2.30","","null","","","","ratingFB","","trustrating_stim/white_mw025.bmp","null","","","","","","","","","",""
"image-keyboard-response","67","22464","0.0-6.0-1.31","","159","","","","rating","","trustrating_stim/white_mw012.bmp","6","","","","","","","","","",""
"image-keyboard-response","68","22667","0.0-6.0-2.31","","null","","","","ratingFB","","trustrating_stim/white_mw012.bmp","null","","","","","","","","","",""
"image-keyboard-response","69","22945","0.0-6.0-1.32","","170","","","","rating","","trustrating_stim/white_mw089.bmp","6","","","","","","","","","",""
"image-keyboard-response","70","23146","0.0-6.0-2.32","","null","","","","ratingFB","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","",""
"image-keyboard-response","71","23320","0.0-6.0-1.33","","71","","","","rating","","trustrating_stim/white_mw080.bmp","5","","","","","","","","","",""
"image-keyboard-response","72","23522","0.0-6.0-2.33","","null","","","","ratingFB","","trustrating_stim/white_mw080.bmp","null","","","","","","","","","",""
"image-keyboard-response","73","23736","0.0-6.0-1.34","","113","","","","rating","","trustrating_stim/white_mw057.bmp","5","","","","","","","","","",""
"image-keyboard-response","74","23938","0.0-6.0-2.34","","null","","","","ratingFB","","trustrating_stim/white_mw057.bmp","null","","","","","","","","","",""
"image-keyboard-response","75","24200","0.0-6.0-1.35","","157","","","","rating","","trustrating_stim/white_mw082.bmp","5","","","","","","","","","",""
"image-keyboard-response","76","24402","0.0-6.0-2.35","","null","","","","ratingFB","","trustrating_stim/white_mw082.bmp","null","","","","","","","","","",""
"image-keyboard-response","77","24608","0.0-6.0-1.36","","104","","","","rating","","trustrating_stim/white_00658_941121_fb_edt.bmp","5","","","","","","","","","",""
"image-keyboard-response","78","24809","0.0-6.0-2.36","","null","","","","ratingFB","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","","",""
"image-keyboard-response","79","24992","0.0-6.0-1.37","","81","","","","rating","","trustrating_stim/white_mw044.bmp","5","","","","","","","","","",""
"image-keyboard-response","80","25193","0.0-6.0-2.37","","null","","","","ratingFB","","trustrating_stim/white_mw044.bmp","null","","","","","","","","","",""
"image-keyboard-response","81","25384","0.0-6.0-1.38","","90","","","","rating","","trustrating_stim/white_mw019.bmp","5","","","","","","","","","",""
"image-keyboard-response","82","25587","0.0-6.0-2.38","","null","","","","ratingFB","","trustrating_stim/white_mw019.bmp","null","","","","","","","","","",""
"image-keyboard-response","83","25928","0.0-6.0-1.39","","239","","","","rating","","trustrating_stim/white_mw072.bmp","5","","","","","","","","","",""
"image-keyboard-response","84","26133","0.0-6.0-2.39","","null","","","","ratingFB","","trustrating_stim/white_mw072.bmp","null","","","","","","","","","",""
"instructions","85","27400","0.0-7.0","[{""page_index"":0,""viewing_time"":1164}]","1164","","","","","","","","","","","","","","","","",""
"instructions","86","34800","0.0-8.0","[{""page_index"":0,""viewing_time"":2379},{""page_index"":1,""viewing_time"":816},{""page_index"":2,""viewing_time"":720},{""page_index"":3,""viewing_time"":712},{""page_index"":4,""viewing_time"":672},{""page_index"":5,""viewing_time"":1328},{""page_index"":6,""viewing_time"":672}]","7299","","","","","","","","","","","","","","","","",""
"html-keyboard-response","87","38216","0.0-9.0","","3415","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","B","","","","","","","","","",""
"html-keyboard-response","88","38936","0.0-10.0","","615","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p style='color:#00FF00'>b) 1</p><p>c) 5</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","89","42049","0.0-11.0","","3010","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","B","","","","","","","","","",""
"html-keyboard-response","90","42720","0.0-12.0","","566","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p style='color:#00FF00'>b) 5</p><p>c) 3</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The maximum number of points you can choose to send to your partner is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","91","45800","0.0-13.0","","2974","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p>c) It quadruples</p>","B","","","","","","","","","",""
"html-keyboard-response","92","46760","0.0-14.0","","855","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p style='color:#FF0000'>b) It doubles</p><p>c) It quadruples</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The amount of points you send to your partner quadruples.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"html-keyboard-response","93","52016","0.0-15.0","","5154","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 out of 5 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p>c) 9</p>","C","","","","","","","","","",""
"html-keyboard-response","94","52865","0.0-16.0","","744","","","","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p style='color:#00FF00'>c) 9</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>If you share 4 out of 5 points with your partner and he decided to share half with you, you would receive 8 points back (i.e. (4 x 4)/2 = 8), totaling to 9 points altogether.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","","",""
"instructions","95","54095","0.0-17.0","[{""page_index"":0,""viewing_time"":1129}]","1129","","","","","","","","","","","","","","","","",""
"html-keyboard-response","96","55239","0.0-18.0-1.0","","1038","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","1","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","5","1",""
"html-keyboard-response","97","55494","0.0-18.0-2.0","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","1","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","0","1",""
"html-keyboard-response","98","56497","0.0-18.0-3.0","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","0","1",""
"html-keyboard-response","99","56791","0.0-18.0-1.1","","293","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","5","2",""
"html-keyboard-response","100","57046","0.0-18.0-2.1","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","1","2",""
"html-keyboard-response","101","58049","0.0-18.0-3.1","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Received: <strong>16</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>8</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","9","2",""
"html-keyboard-response","102","58775","0.0-18.0-1.2","","724","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","14","3",""
"html-keyboard-response","103","59031","0.0-18.0-2.2","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","10","3",""
"html-keyboard-response","104","60035","0.0-18.0-3.2","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Received: <strong>16</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>8</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","18","3",""
"html-keyboard-response","105","60719","0.0-18.0-1.3","","683","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","1","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","23","4",""
"html-keyboard-response","106","60973","0.0-18.0-2.3","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","1","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","19","4",""
"html-keyboard-response","107","61978","0.0-18.0-3.3","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Received: <strong>16</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","1","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","19","4",""
"html-keyboard-response","108","62359","0.0-18.0-1.4","","380","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","2","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","24","5",""
"html-keyboard-response","109","62614","0.0-18.0-2.4","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","2","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","21","5",""
"html-keyboard-response","110","63617","0.0-18.0-3.4","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Jordan</strong><p>Received: <strong>12</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Jordan","trustrating_stim/white_mw071.bmp","Kept","0.6,0.2","12","0.6","21","5",""
"html-keyboard-response","111","64208","0.0-18.0-1.5","","590","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","2","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","26","6",""
"html-keyboard-response","112","64465","0.0-18.0-2.5","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","2","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","23","6",""
"html-keyboard-response","113","65471","0.0-18.0-3.5","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Brian</strong><p>Received: <strong>12</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>6</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Brian","trustrating_stim/white_mw089.bmp","Shared","0.8,0.4","15","0.8","29","6",""
"html-keyboard-response","114","66239","0.0-18.0-1.6","","767","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","2","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","34","7",""
"html-keyboard-response","115","66494","0.0-18.0-2.6","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","2","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","32","7",""
"html-keyboard-response","116","67499","0.0-18.0-3.6","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>David</strong><p>Received: <strong>8</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>4</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","David","trustrating_stim/white_mw035.bmp","Shared","0.4,0.8","11","0.4","36","7",""
"html-keyboard-response","117","67991","0.0-18.0-1.7","","491","","","","decision","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","2","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","41","8",""
"html-keyboard-response","118","68242","0.0-18.0-2.7","","null","","","","decisionFB","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","2","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","40","8",""
"html-keyboard-response","119","69247","0.0-18.0-3.7","","null","","","","feedback","","<div class='trialDiv'><img src='trustrating_stim/white_mw084.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Received: <strong>4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font></font><div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div></div>","null","2","Timothy","trustrating_stim/white_mw084.bmp","Kept","0.2,0.6","10","0.2","40","8",""
