"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","15","62844","0.0-6.0-2.4","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","16","64796","0.0-6.0-1.5","","1842","","trustrating_stim/white_00960_960627_fb_edt.bmp","5","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","17","65002","0.0-6.0-2.5","","null","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","18","66062","0.0-6.0-1.6","","950","","trustrating_stim/white_00657_941121_fa_edt.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","19","66274","0.0-6.0-2.6","","null","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","20","67718","0.0-6.0-1.7","","1337","","trustrating_stim/white_mw022.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","21","67924","0.0-6.0-2.7","","null","","trustrating_stim/white_mw022.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","22","68816","0.0-6.0-1.8","","784","","trustrating_stim/white_00120_931230_fa_edt.bmp","7","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","23","69020","0.0-6.0-2.8","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","24","70316","0.0-6.0-1.9","","1187","","trustrating_stim/white_mw080.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","25","70520","0.0-6.0-2.9","","null","","trustrating_stim/white_mw080.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","26","71801","0.0-6.0-1.10","","1171","","trustrating_stim/white_mw043.bmp","4","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","27","72007","0.0-6.0-2.10","","null","","trustrating_stim/white_mw043.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","28","73406","0.0-6.0-1.11","","1289","","trustrating_stim/white_mw025.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","29","73609","0.0-6.0-2.11","","null","","trustrating_stim/white_mw025.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","30","75238","0.0-6.0-1.12","","1521","","trustrating_stim/white_00253_940128_fa_edt.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","31","75441","0.0-6.0-2.12","","null","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","32","76399","0.0-6.0-1.13","","852","","trustrating_stim/white_mw097.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","33","76608","0.0-6.0-2.13","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","34","77679","0.0-6.0-1.14","","962","","trustrating_stim/white_mw057.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","35","77896","0.0-6.0-2.14","","null","","trustrating_stim/white_mw057.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","36","78966","0.0-6.0-1.15","","960","","trustrating_stim/white_mw066.bmp","7","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","37","79176","0.0-6.0-2.15","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","38","80205","0.0-6.0-1.16","","922","","trustrating_stim/white_mw013.bmp","7","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","39","80409","0.0-6.0-2.16","","null","","trustrating_stim/white_mw013.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","40","81710","0.0-6.0-1.17","","1192","","trustrating_stim/white_mw082.bmp","7","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","41","81913","0.0-6.0-2.17","","null","","trustrating_stim/white_mw082.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","42","83769","0.0-6.0-1.18","","1747","","trustrating_stim/white_mw004.bmp","5","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","43","83973","0.0-6.0-2.18","","null","","trustrating_stim/white_mw004.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","44","85206","0.0-6.0-1.19","","1121","","trustrating_stim/white_mw012.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","45","85409","0.0-6.0-2.19","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","46","87685","0.0-6.0-1.20","","2166","","trustrating_stim/white_mw040.bmp","4","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","47","87895","0.0-6.0-2.20","","null","","trustrating_stim/white_mw040.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","48","89279","0.0-6.0-1.21","","1274","","trustrating_stim/white_00897_960530_fb_edt.bmp","2","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","49","89492","0.0-6.0-2.21","","null","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","50","90823","0.0-6.0-1.22","","1221","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","51","91026","0.0-6.0-2.22","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","52","91888","0.0-6.0-1.23","","748","","trustrating_stim/white_00761_941201_fb_edt.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","53","92091","0.0-6.0-2.23","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","54","92964","0.0-6.0-1.24","","764","","trustrating_stim/white_mw099.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","55","93172","0.0-6.0-2.24","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","56","95028","0.0-6.0-1.25","","1748","","trustrating_stim/white_mw016.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","57","95240","0.0-6.0-2.25","","null","","trustrating_stim/white_mw016.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","58","96228","0.0-6.0-1.26","","875","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","59","96436","0.0-6.0-2.26","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","60","97581","0.0-6.0-1.27","","1039","","trustrating_stim/white_00602_940928_fb_edt.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","61","97786","0.0-6.0-2.27","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","62","98881","0.0-6.0-1.28","","982","","trustrating_stim/white_mw006.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","63","99083","0.0-6.0-2.28","","null","","trustrating_stim/white_mw006.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","64","99962","0.0-6.0-1.29","","769","","trustrating_stim/white_00109_931230_fa_edt.bmp","7","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","65","100167","0.0-6.0-2.29","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","66","102615","0.0-6.0-1.30","","2341","","trustrating_stim/white_mw084.bmp","5","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","67","102819","0.0-6.0-2.30","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","68","105486","0.0-6.0-1.31","","2559","","trustrating_stim/white_mw089.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","69","105690","0.0-6.0-2.31","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","70","106630","0.0-6.0-1.32","","834","","trustrating_stim/white_00223_940128_fb_edt.bmp","2","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","71","106842","0.0-6.0-2.32","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","72","108235","0.0-6.0-1.33","","1282","","trustrating_stim/white_mw072.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","73","108448","0.0-6.0-2.33","","null","","trustrating_stim/white_mw072.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","74","109850","0.0-6.0-1.34","","1296","","trustrating_stim/white_mw058.bmp","3","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","75","110056","0.0-6.0-2.34","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","76","111367","0.0-6.0-1.35","","1200","","trustrating_stim/white_00757_941201_fa_edt.bmp","2","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","77","111570","0.0-6.0-2.35","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","78","112549","0.0-6.0-1.36","","872","","trustrating_stim/white_mw044.bmp","2","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","79","112759","0.0-6.0-2.36","","null","","trustrating_stim/white_mw044.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","80","113653","0.0-6.0-1.37","","787","","trustrating_stim/white_mw071.bmp","1","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","81","113857","0.0-6.0-2.37","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","82","115059","0.0-6.0-1.38","","1092","","trustrating_stim/white_00658_941121_fb_edt.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","83","115261","0.0-6.0-2.38","","null","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","","",""
"","","","rating","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","84","116569","0.0-6.0-1.39","","1198","","trustrating_stim/white_mw054.bmp","6","","","","","","","","","",""
"","","","ratingFB","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","image-keyboard-response","85","116770","0.0-6.0-2.39","","null","","trustrating_stim/white_mw054.bmp","null","","","","","","","","","",""
"","","","","5f29bcd6a340af13ed199faa","bdp_trlrn","Tue May 11 2021 12:45:55 GMT-0700 (Pacific Daylight Time)","536757","Untrustworthy,Trustworthy","instructions","86","118168","0.0-7.0","[{""page_index"":0,""viewing_time"":1291}]","1291","","","","","","","","","","","","",""
