"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","numBlurs","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round"
"blur","4","78726","blurevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","4","78926","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","4","79123","blurevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","4","79304","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"blur","4","79488","blurevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"focus","4","79671","focusevent","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","","","","","","","","","","","","","","","","","","","","",""
"","","","","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","instructions","4","116998","0.0-4.0","[{""page_index"":0,""viewing_time"":72306},{""page_index"":1,""viewing_time"":21378}]","93684","","","","","","","","","","","","","","",""
"","","","","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","instructions","5","120041","0.0-5.0","[{""page_index"":0,""viewing_time"":3042}]","3042","","","","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","6","125626","0.0-6.0-1.0","","5476","","trustrating_stim/white_00519_940519_fb_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","7","125840","0.0-6.0-2.0","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","8","132323","0.0-6.0-1.1","","6372","","trustrating_stim/white_00129_931230_fb_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","9","132526","0.0-6.0-2.1","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","10","140256","0.0-6.0-1.2","","7621","","trustrating_stim/white_mw056.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","11","140458","0.0-6.0-2.2","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","12","145411","0.0-6.0-1.3","","4842","","trustrating_stim/white_mw049.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","13","145617","0.0-6.0-2.3","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","14","147954","0.0-6.0-1.4","","2226","","trustrating_stim/white_mw033.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","15","148160","0.0-6.0-2.4","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","16","151529","0.0-6.0-1.5","","3254","","trustrating_stim/white_mw048.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","17","151745","0.0-6.0-2.5","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","18","155917","0.0-6.0-1.6","","4063","","trustrating_stim/white_00602_940928_fb_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","19","156120","0.0-6.0-2.6","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","20","161225","0.0-6.0-1.7","","4992","","trustrating_stim/white_00299_940422_fa_edt.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","21","161427","0.0-6.0-2.7","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","22","164851","0.0-6.0-1.8","","3316","","trustrating_stim/white_00340_940422_fa_edt.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","23","165064","0.0-6.0-2.8","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","24","171281","0.0-6.0-1.9","","6115","","trustrating_stim/white_00577_940928_fa_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","25","171492","0.0-6.0-2.9","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","26","174665","0.0-6.0-1.10","","3070","","trustrating_stim/white_mw035.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","27","174880","0.0-6.0-2.10","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","28","181422","0.0-6.0-1.11","","6426","","trustrating_stim/white_00785_941205_fb_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","29","181636","0.0-6.0-2.11","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","30","185176","0.0-6.0-1.12","","3429","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","31","185385","0.0-6.0-2.12","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","32","192802","0.0-6.0-1.13","","7307","","trustrating_stim/white_00807_941205_fb_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","33","193012","0.0-6.0-2.13","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","34","198756","0.0-6.0-1.14","","5634","","trustrating_stim/white_mw046.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","35","198967","0.0-6.0-2.14","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","36","202995","0.0-6.0-1.15","","3917","","trustrating_stim/white_00109_931230_fa_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","37","203208","0.0-6.0-2.15","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","38","206304","0.0-6.0-1.16","","2987","","trustrating_stim/white_mw060.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","39","206507","0.0-6.0-2.16","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","40","209467","0.0-6.0-1.17","","2850","","trustrating_stim/white_mw071.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","41","209674","0.0-6.0-2.17","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","42","215520","0.0-6.0-1.18","","5735","","trustrating_stim/white_mw097.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","43","215721","0.0-6.0-2.18","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","44","218380","0.0-6.0-1.19","","2547","","trustrating_stim/white_mw089.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","45","218581","0.0-6.0-2.19","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","46","224268","0.0-6.0-1.20","","5576","","trustrating_stim/white_mw066.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","47","224472","0.0-6.0-2.20","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","48","230091","0.0-6.0-1.21","","5507","","trustrating_stim/white_mw099.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","49","230293","0.0-6.0-2.21","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","50","238367","0.0-6.0-1.22","","7964","","trustrating_stim/white_00223_940128_fb_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","51","238577","0.0-6.0-2.22","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","52","242736","0.0-6.0-1.23","","4042","","trustrating_stim/white_00120_931230_fa_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","53","242941","0.0-6.0-2.23","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","54","245962","0.0-6.0-1.24","","2915","","trustrating_stim/white_00898_960530_fa_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","55","246164","0.0-6.0-2.24","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","56","249907","0.0-6.0-1.25","","3628","","trustrating_stim/white_mw053.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","57","250122","0.0-6.0-2.25","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","58","254065","0.0-6.0-1.26","","3840","","trustrating_stim/white_mw063.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","59","254275","0.0-6.0-2.26","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","60","260002","0.0-6.0-1.27","","5614","","trustrating_stim/white_00761_941201_fb_edt.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","61","260207","0.0-6.0-2.27","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","62","266762","0.0-6.0-1.28","","6440","","trustrating_stim/white_00659_941121_fa_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","63","266969","0.0-6.0-2.28","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","64","270043","0.0-6.0-1.29","","2965","","trustrating_stim/white_mw084.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","65","270253","0.0-6.0-2.29","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","66","277456","0.0-6.0-1.30","","7102","","trustrating_stim/white_00659_941121_fa_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","67","277663","0.0-6.0-2.30","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","68","283947","0.0-6.0-1.31","","6170","","trustrating_stim/white_00602_940928_fb_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","69","284148","0.0-6.0-2.31","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","70","291234","0.0-6.0-1.32","","6971","","trustrating_stim/white_mw071.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","71","291435","0.0-6.0-2.32","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","72","296092","0.0-6.0-1.33","","4547","","trustrating_stim/white_00757_941201_fa_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","73","296299","0.0-6.0-2.33","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","74","302313","0.0-6.0-1.34","","5904","","trustrating_stim/white_00223_940128_fb_edt.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","6404fb7b9a7b3cfb4179d185","bdp_trlrn","Tue Mar 14 2023 00:10:11 GMT-0400 (Eastern Daylight Time)","1247726","Trustworthy,Untrustworthy","image-keyboard-response","75","302521","0.0-6.0-2.34","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","","",""
