"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","6","85425","0.0-6.0-1.0","","4907","","","trustrating_stim/white_mw082.bmp","8","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","7","85630","0.0-6.0-2.0","","null","","","trustrating_stim/white_mw082.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","8","87992","0.0-6.0-1.1","","2258","","","trustrating_stim/white_mw072.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","9","88195","0.0-6.0-2.1","","null","","","trustrating_stim/white_mw072.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","10","92089","0.0-6.0-1.2","","3792","","","trustrating_stim/white_mw089.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","11","92294","0.0-6.0-2.2","","null","","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","12","94299","0.0-6.0-1.3","","1904","","","trustrating_stim/white_mw066.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","13","94505","0.0-6.0-2.3","","null","","","trustrating_stim/white_mw066.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","14","96437","0.0-6.0-1.4","","1827","","","trustrating_stim/white_00757_941201_fa_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","15","96641","0.0-6.0-2.4","","null","","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","16","100553","0.0-6.0-1.5","","3808","","","trustrating_stim/white_mw085.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","17","100758","0.0-6.0-2.5","","null","","","trustrating_stim/white_mw085.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","18","104386","0.0-6.0-1.6","","3527","","","trustrating_stim/white_mw012.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","19","104589","0.0-6.0-2.6","","null","","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","20","108506","0.0-6.0-1.7","","3816","","","trustrating_stim/white_00223_940128_fb_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","21","108707","0.0-6.0-2.7","","null","","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","22","111050","0.0-6.0-1.8","","2241","","","trustrating_stim/white_00120_931230_fa_edt.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","23","111254","0.0-6.0-2.8","","null","","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","24","113024","0.0-6.0-1.9","","1665","","","trustrating_stim/white_mw054.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","25","113227","0.0-6.0-2.9","","null","","","trustrating_stim/white_mw054.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","26","116047","0.0-6.0-1.10","","2715","","","trustrating_stim/white_00253_940128_fa_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","27","116249","0.0-6.0-2.10","","null","","","trustrating_stim/white_00253_940128_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","28","119216","0.0-6.0-1.11","","2865","","","trustrating_stim/white_00657_941121_fa_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","29","119423","0.0-6.0-2.11","","null","","","trustrating_stim/white_00657_941121_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","30","121990","0.0-6.0-1.12","","2462","","","trustrating_stim/white_mw006.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","31","122197","0.0-6.0-2.12","","null","","","trustrating_stim/white_mw006.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","32","123954","0.0-6.0-1.13","","1652","","","trustrating_stim/white_mw071.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","33","124158","0.0-6.0-2.13","","null","","","trustrating_stim/white_mw071.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","34","126742","0.0-6.0-1.14","","2477","","","trustrating_stim/white_00109_931230_fa_edt.bmp","7","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","35","126946","0.0-6.0-2.14","","null","","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","36","129221","0.0-6.0-1.15","","2169","","","trustrating_stim/white_mw025.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","37","129424","0.0-6.0-2.15","","null","","","trustrating_stim/white_mw025.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","38","132058","0.0-6.0-1.16","","2529","","","trustrating_stim/white_00602_940928_fb_edt.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","39","132264","0.0-6.0-2.16","","null","","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","40","136921","0.0-6.0-1.17","","4550","","","trustrating_stim/white_mw019.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","41","137125","0.0-6.0-2.17","","null","","","trustrating_stim/white_mw019.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","42","139659","0.0-6.0-1.18","","2429","","","trustrating_stim/white_00960_960627_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","43","139861","0.0-6.0-2.18","","null","","","trustrating_stim/white_00960_960627_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","44","142227","0.0-6.0-1.19","","2261","","","trustrating_stim/white_mw046.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","45","142434","0.0-6.0-2.19","","null","","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","46","144701","0.0-6.0-1.20","","2165","","","trustrating_stim/white_00658_941121_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","47","144908","0.0-6.0-2.20","","null","","","trustrating_stim/white_00658_941121_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","48","147622","0.0-6.0-1.21","","2610","","","trustrating_stim/white_mw035.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","49","147826","0.0-6.0-2.21","","null","","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","50","149565","0.0-6.0-1.22","","1634","","","trustrating_stim/white_mw040.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","51","149770","0.0-6.0-2.22","","null","","","trustrating_stim/white_mw040.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","52","151544","0.0-6.0-1.23","","1668","","","trustrating_stim/white_mw022.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","53","151750","0.0-6.0-2.23","","null","","","trustrating_stim/white_mw022.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","54","154398","0.0-6.0-1.24","","2542","","","trustrating_stim/white_mw080.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","55","154602","0.0-6.0-2.24","","null","","","trustrating_stim/white_mw080.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","56","157681","0.0-6.0-1.25","","2974","","","trustrating_stim/white_00761_941201_fb_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","57","157887","0.0-6.0-2.25","","null","","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","58","159785","0.0-6.0-1.26","","1792","","","trustrating_stim/white_mw051.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","59","159990","0.0-6.0-2.26","","null","","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","60","163042","0.0-6.0-1.27","","2947","","","trustrating_stim/white_mw058.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","61","163244","0.0-6.0-2.27","","null","","","trustrating_stim/white_mw058.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","62","164847","0.0-6.0-1.28","","1502","","","trustrating_stim/white_mw016.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","63","165052","0.0-6.0-2.28","","null","","","trustrating_stim/white_mw016.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","64","167056","0.0-6.0-1.29","","1900","","","trustrating_stim/white_mw004.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","65","167261","0.0-6.0-2.29","","null","","","trustrating_stim/white_mw004.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","66","168437","0.0-6.0-1.30","","1071","","","trustrating_stim/white_mw099.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","67","168643","0.0-6.0-2.30","","null","","","trustrating_stim/white_mw099.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","68","170836","0.0-6.0-1.31","","2087","","","trustrating_stim/white_mw097.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","69","171040","0.0-6.0-2.31","","null","","","trustrating_stim/white_mw097.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","70","172935","0.0-6.0-1.32","","1788","","","trustrating_stim/white_mw043.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","71","173137","0.0-6.0-2.32","","null","","","trustrating_stim/white_mw043.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","72","175236","0.0-6.0-1.33","","1995","","","trustrating_stim/white_00807_941205_fb_edt.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","73","175441","0.0-6.0-2.33","","null","","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","74","177215","0.0-6.0-1.34","","1667","","","trustrating_stim/white_mw013.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","75","177421","0.0-6.0-2.34","","null","","","trustrating_stim/white_mw013.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","76","179560","0.0-6.0-1.35","","2034","","","trustrating_stim/white_00785_941205_fb_edt.bmp","3","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","77","179766","0.0-6.0-2.35","","null","","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","78","182017","0.0-6.0-1.36","","2147","","","trustrating_stim/white_00897_960530_fb_edt.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","79","182223","0.0-6.0-2.36","","null","","","trustrating_stim/white_00897_960530_fb_edt.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","80","185264","0.0-6.0-1.37","","2936","","","trustrating_stim/white_mw057.bmp","4","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","81","185466","0.0-6.0-2.37","","null","","","trustrating_stim/white_mw057.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","82","187472","0.0-6.0-1.38","","1900","","","trustrating_stim/white_mw044.bmp","6","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","83","187672","0.0-6.0-2.38","","null","","","trustrating_stim/white_mw044.bmp","null","","","","","","","","",""
"","","","rating","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","84","189492","0.0-6.0-1.39","","1713","","","trustrating_stim/white_mw084.bmp","5","","","","","","","","",""
"","","","ratingFB","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","image-keyboard-response","85","189697","0.0-6.0-2.39","","null","","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","instructions","86","191246","0.0-7.0","[{""page_index"":0,""viewing_time"":1444}]","1444","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","instructions","87","295493","0.0-8.0","[{""page_index"":0,""viewing_time"":33036},{""page_index"":1,""viewing_time"":22599},{""page_index"":2,""viewing_time"":7837},{""page_index"":3,""viewing_time"":23961},{""page_index"":4,""viewing_time"":5892},{""page_index"":5,""viewing_time"":7372},{""page_index"":6,""viewing_time"":3447}]","104144","","","","","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","html-keyboard-response","88","302540","0.0-9.0","","7046","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","html-keyboard-response","89","307827","0.0-10.0","","5183","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#FF0000'>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"","","","","2","bdp_trlrn","Mon Feb 28 2022 19:02:12 GMT-0500 (Eastern Standard Time)","736632","Untrustworthy,Trustworthy","html-keyboard-response","90","314816","0.0-11.0","","6884","","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","B","","","","","","","","",""
