"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","faceID","outcome","agenttype","agentswpt","agentcurrpshare","face","avgRating","point_total","round","numBlurs"
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","9","30963","0.0-6.0-1.2","","1324","","trustrating_stim/white_mw097.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","10","31174","0.0-6.0-2.2","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","11","32723","0.0-6.0-1.3","","1447","","trustrating_stim/white_00109_931230_fa_edt.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","12","32934","0.0-6.0-2.3","","null","","trustrating_stim/white_00109_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","13","38857","0.0-6.0-1.4","","5810","","trustrating_stim/white_mw060.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","14","39059","0.0-6.0-2.4","","null","","trustrating_stim/white_mw060.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","15","41492","0.0-6.0-1.5","","2323","","trustrating_stim/white_00299_940422_fa_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","16","41704","0.0-6.0-2.5","","null","","trustrating_stim/white_00299_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","17","43524","0.0-6.0-1.6","","1718","","trustrating_stim/white_00120_931230_fa_edt.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","18","43735","0.0-6.0-2.6","","null","","trustrating_stim/white_00120_931230_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","19","44968","0.0-6.0-1.7","","1124","","trustrating_stim/white_00785_941205_fb_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","20","45179","0.0-6.0-2.7","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","21","46521","0.0-6.0-1.8","","1241","","trustrating_stim/white_00602_940928_fb_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","22","46735","0.0-6.0-2.8","","null","","trustrating_stim/white_00602_940928_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","23","47905","0.0-6.0-1.9","","1067","","trustrating_stim/white_00761_941201_fb_edt.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","24","48121","0.0-6.0-2.9","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","25","49010","0.0-6.0-1.10","","780","","trustrating_stim/white_00757_941201_fa_edt.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","26","49225","0.0-6.0-2.10","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","27","50210","0.0-6.0-1.11","","882","","trustrating_stim/white_mw089.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","28","50424","0.0-6.0-2.11","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","29","52104","0.0-6.0-1.12","","1579","","trustrating_stim/white_00898_960530_fa_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","30","52306","0.0-6.0-2.12","","null","","trustrating_stim/white_00898_960530_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","31","54562","0.0-6.0-1.13","","2145","","trustrating_stim/white_00223_940128_fb_edt.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","32","54779","0.0-6.0-2.13","","null","","trustrating_stim/white_00223_940128_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","33","55710","0.0-6.0-1.14","","830","","trustrating_stim/white_00577_940928_fa_edt.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","34","55912","0.0-6.0-2.14","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","35","57367","0.0-6.0-1.15","","1346","","trustrating_stim/white_00807_941205_fb_edt.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","36","57572","0.0-6.0-2.15","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","37","58560","0.0-6.0-1.16","","886","","trustrating_stim/white_mw048.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","38","58764","0.0-6.0-2.16","","null","","trustrating_stim/white_mw048.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","39","59717","0.0-6.0-1.17","","852","","trustrating_stim/white_mw071.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","40","59920","0.0-6.0-2.17","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","41","60761","0.0-6.0-1.18","","734","","trustrating_stim/white_mw063.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","42","60969","0.0-6.0-2.18","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","43","61792","0.0-6.0-1.19","","716","","trustrating_stim/white_mw033.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","44","62008","0.0-6.0-2.19","","null","","trustrating_stim/white_mw033.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","45","62845","0.0-6.0-1.20","","735","","trustrating_stim/white_00340_940422_fa_edt.bmp","9","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","46","63053","0.0-6.0-2.20","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","47","64723","0.0-6.0-1.21","","1568","","trustrating_stim/white_mw049.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","48","64931","0.0-6.0-2.21","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","49","66011","0.0-6.0-1.22","","973","","trustrating_stim/white_mw053.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","50","66223","0.0-6.0-2.22","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","51","68125","0.0-6.0-1.23","","1792","","trustrating_stim/white_00129_931230_fb_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","52","68337","0.0-6.0-2.23","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","53","69715","0.0-6.0-1.24","","1277","","trustrating_stim/white_mw035.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","54","69930","0.0-6.0-2.24","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","55","71431","0.0-6.0-1.25","","1399","","trustrating_stim/white_mw099.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","56","71639","0.0-6.0-2.25","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","57","72536","0.0-6.0-1.26","","796","","trustrating_stim/white_00659_941121_fa_edt.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","58","72752","0.0-6.0-2.26","","null","","trustrating_stim/white_00659_941121_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","59","73669","0.0-6.0-1.27","","814","","trustrating_stim/white_mw066.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","60","73881","0.0-6.0-2.27","","null","","trustrating_stim/white_mw066.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","61","75355","0.0-6.0-1.28","","1367","","trustrating_stim/white_00519_940519_fb_edt.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","62","75563","0.0-6.0-2.28","","null","","trustrating_stim/white_00519_940519_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","63","76902","0.0-6.0-1.29","","1237","","trustrating_stim/white_mw084.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","64","77111","0.0-6.0-2.29","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","65","77954","0.0-6.0-1.30","","742","","trustrating_stim/white_mw063.bmp","5","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","66","78167","0.0-6.0-2.30","","null","","trustrating_stim/white_mw063.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","67","78911","0.0-6.0-1.31","","632","","trustrating_stim/white_00577_940928_fa_edt.bmp","4","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","68","79118","0.0-6.0-2.31","","null","","trustrating_stim/white_00577_940928_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","69","79840","0.0-6.0-1.32","","618","","trustrating_stim/white_mw056.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","70","80049","0.0-6.0-2.32","","null","","trustrating_stim/white_mw056.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","71","81084","0.0-6.0-1.33","","932","","trustrating_stim/white_00340_940422_fa_edt.bmp","7","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","72","81296","0.0-6.0-2.33","","null","","trustrating_stim/white_00340_940422_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","73","82078","0.0-6.0-1.34","","679","","trustrating_stim/white_mw053.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","74","82285","0.0-6.0-2.34","","null","","trustrating_stim/white_mw053.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","75","83301","0.0-6.0-1.35","","913","","trustrating_stim/white_mw097.bmp","1","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","76","83506","0.0-6.0-2.35","","null","","trustrating_stim/white_mw097.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","77","84575","0.0-6.0-1.36","","956","","trustrating_stim/white_00757_941201_fa_edt.bmp","8","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","78","84789","0.0-6.0-2.36","","null","","trustrating_stim/white_00757_941201_fa_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","79","85789","0.0-6.0-1.37","","898","","trustrating_stim/white_00129_931230_fb_edt.bmp","2","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","80","86002","0.0-6.0-2.37","","null","","trustrating_stim/white_00129_931230_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","81","87902","0.0-6.0-1.38","","1780","","trustrating_stim/white_mw049.bmp","6","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","82","88117","0.0-6.0-2.38","","null","","trustrating_stim/white_mw049.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","83","89206","0.0-6.0-1.39","","987","","trustrating_stim/white_00807_941205_fb_edt.bmp","3","","","","","","","","","","","",""
"","","","ratingFB","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","84","89409","0.0-6.0-2.39","","null","","trustrating_stim/white_00807_941205_fb_edt.bmp","null","","","","","","","","","","","",""
"","","","rating","63ed4bdcb1977e991fe4f095","bdp_trlrn","Wed Mar 15 2023 14:13:35 GMT-0500 (Central Daylight Time)","568747","Trustworthy,Untrustworthy","image-keyboard-response","85","90420","0.0-6.0-1.40","","910","","trustrating_stim/white_00659_941121_fa_edt.bmp","2","","","","","","","","","","","",""
