PROLIFIC_PID,totalTime,subjLR,subjSM,subjNLL,subjLRTp,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
62fd76d3f0824c29d4b1e6bd,407.726,0.02261653672071289,0.9714790370534304,211.05016633857798,0.09477871830892443,0.5,0.0,0.5151515151515151,12.9,0.0,0.0,0.0,29.93,0.0
5d3bcf190e510a001b3df200,372.097,0.0006664232026217611,0.2,212.425912729209,0.8419046307841231,0.3333333333333333,0.0,0.12878787878787878,3.19,0.0,0.0,0.0,8.77,1.0
63f68fcc9f84b736270f0e8e,315.623,0.0016116784730657583,0.2,212.24284042992946,0.5240435496065199,0.42424242424242425,0.0,0.4090909090909091,2.27,0.6666666666666666,0.0,0.8333333333333334,8.02,0.0
60fdbd3afcd943b7119d6f4a,477.442,0.17265004795362054,0.7312903274397864,185.67727077780683,2.53759421243752e-13,0.007575757575757576,0.0,0.21212121212121213,2.76,0.0,0.0,0.0,19.62,0.0
63d40e3588ba6ef2a3ce7c37,373.972,0.04172804833339439,0.2,175.45711126446653,7.901706514766064e-18,0.6136363636363636,0.0,0.5757575757575758,12.24,0.0,0.0,0.5,19.03,1.0
5d13e3e6e51708001a43fa66,489.085,0.022056801753609998,0.2503919995444294,201.35171189493423,2.4719027552596016e-06,0.08333333333333333,0.0,0.48484848484848486,36.4,0.0,0.0,0.16666666666666666,21.03,0.0
5f932e6a3ceaf50d5768745b,267.685,0.5281393766152889,3.5907195760319417,208.08312014736026,0.0031381262261288637,0.5378787878787878,0.0,0.24242424242424243,5.27,0.0,0.0,0.0,5.42,0.0
62951043176ada9a9de2faa4,359.587,0.5274860729890806,3.3046690176656353,206.88504977856218,0.000853323188315835,0.06818181818181818,0.0,0.18181818181818182,4.14,0.0,0.0,0.16666666666666666,8.5,0.0
63d82d20ed2b67b4f77f1fc7,408.135,4.5397868702434395e-05,5.0,212.44592255640515,1.0,0.5454545454545454,0.0,0.6212121212121212,38.72,0.5,0.0,0.8333333333333334,16.32,1.0
6108cd48a97ffccb0e7e518c,570.882,0.0556812156819241,0.3464062758027836,190.3351818073527,2.932809446876511e-11,0.045454545454545456,0.007575757575757576,0.22727272727272727,6.79,0.0,0.0,0.16666666666666666,23.17,0.0
63d85999228b7d6b636dd96c,603.39,4.5397868702434395e-05,5.0,212.4463942293853,1.0,0.3181818181818182,0.09090909090909091,0.36363636363636365,7.04,0.16666666666666666,0.0,0.8333333333333334,7.96,0.0
5fb3d39a2ceaab00087faddb,386.115,0.22348265195049485,3.248495401147039,210.5990104348556,0.0546219958573231,0.3787878787878788,0.0,0.44696969696969696,7.79,0.0,0.0,0.16666666666666666,19.03,0.0
63d13bce0971871b9ff88f56,287.899,4.5397868702434395e-05,5.0,212.44624917763554,1.0,0.6818181818181818,0.0,0.5151515151515151,3.15,0.0,0.0,0.0,6.52,1.0
63d7a8a2591096e22405d64a,290.262,0.054959854581486875,2.157241767346471,211.70433285065354,0.22331460145689788,0.7272727272727273,0.0,0.4166666666666667,1.6,0.0,0.0,0.8333333333333334,2.36,0.0
63d7edbef6596097994e730e,357.48,4.5397868702434395e-05,5.0,212.45017941827547,1.0,0.26515151515151514,0.0,0.6363636363636364,8.32,0.0,0.0,0.8333333333333334,15.62,0.0
60761cf3cc35a2a9b127b414,347.764,0.7884492721041264,4.192803664282658,207.45542143478218,0.001581838641546897,0.07575757575757576,0.0,0.38636363636363635,2.41,0.0,0.0,0.16666666666666666,6.63,0.0
63cedc8a97a0bb604736baea,311.637,4.5397868702434395e-05,5.0,212.4459497718429,1.0,0.6136363636363636,0.0,0.22727272727272727,3.89,0.0,0.0,0.16666666666666666,11.18,0.0
63f93d2de413ad49cf0dbff1,439.845,0.0024887501206118947,0.2,212.0672907345707,0.3842603899030671,0.0,0.0,0.3409090909090909,3.59,0.0,0.0,0.16666666666666666,9.78,0.0
