"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","332","486844","0.0-14.0-3.40","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","14","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","558","107","",""
"html-keyboard-response","333","487209","0.0-14.0-1.41","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","364","","","","decision","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","14","Mega Mangos","Fruit/mango.png","Won","0.8,0.35","8","0.8","563","108","",""
"html-keyboard-response","334","487469","0.0-14.0-2.41","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","14","Mega Mangos","Fruit/mango.png","Won","0.8,0.35","8","0.8","562","108","",""
"html-keyboard-response","335","488484","0.0-14.0-3.41","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","14","Mega Mangos","Fruit/mango.png","Won","0.8,0.35","8","0.8","564","108","",""
"html-keyboard-response","336","488866","0.0-14.0-1.42","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","382","","","","decision","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","15","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","569","109","",""
"html-keyboard-response","337","489121","0.0-14.0-2.42","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","15","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","568","109","",""
"html-keyboard-response","338","490135","0.0-14.0-3.42","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","15","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","14","0.2","570","109","",""
"html-keyboard-response","339","490461","0.0-14.0-1.43","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","325","","","","decision","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","15","Mega Mangos","Fruit/mango.png","Lost","0.8,0.35","8","0.8","575","110","",""
"html-keyboard-response","340","490713","0.0-14.0-2.43","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","decisionFB","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","15","Mega Mangos","Fruit/mango.png","Lost","0.8,0.35","8","0.8","574","110","",""
"html-keyboard-response","341","491724","0.0-14.0-3.43","55e7221441988f000b75cc7a","bdp_rwlrn","Wed Mar 15 2023 14:59:25 GMT-0400 (Eastern Daylight Time)","576794","Trustworthy,Untrustworthy","","null","","","","feedback","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","15","Mega Mangos","Fruit/mango.png","Lost","0.8,0.35","8","0.8","574","110","",""
