"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","numBlurs","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","19","171581","0.0-11.0-3.2","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","12","3","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","20","172793","0.0-11.0-1.3","","1206","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","2","Watermelon Win$","Fruit/watermelon.png","Lost","0.65,0.2","10","0.65","17","4","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","21","173050","0.0-11.0-2.3","","null","","<div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","2","Watermelon Win$","Fruit/watermelon.png","Lost","0.65,0.2","10","0.65","12","4","",""
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","22","174062","0.0-11.0-3.3","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/watermelon.png'><br><font class='baseline'><strong>Watermelon Win$</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Watermelon Win$","Fruit/watermelon.png","Lost","0.65,0.2","10","0.65","12","4","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","23","175824","0.0-11.0-1.4","","1759","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","2","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","17","5","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","24","176082","0.0-11.0-2.4","","null","","<div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","2","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","14","5","",""
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","25","177086","0.0-11.0-3.4","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/mango.png'><br><font class='baseline'><strong>Mega Mangos</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Mega Mangos","Fruit/mango.png","Lost","0.2,0.8","11","0.2","14","5","",""
"","","","decision","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","26","178562","0.0-11.0-1.5","","1473","","<div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","2","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","19","6","",""
"","","","decisionFB","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","27","178818","0.0-11.0-2.5","","null","","<div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","2","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","14","6","",""
"","","","feedback","63e885e4e1fc973179d56f63","bdp_rwlrn","Sat Apr 08 2023 11:13:27 GMT-0500 (Central Daylight Time)","566653","Trustworthy,Untrustworthy","","html-keyboard-response","28","179829","0.0-11.0-3.5","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/lime.png'><br><font class='baseline'><strong>Limin' Large</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Limin' Large","Fruit/lime.png","Lost","0.2,0.65","12","0.2","14","6","",""
