"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","event","trial","time","trialtype","view_history","rt","success","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","311","290941","0.0-14.0-3.33","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","12","Odds are Orange","Fruit/orange.png","Lost","0.8,0.2","9","0.8","525","100","",""
"html-keyboard-response","312","291444","0.0-14.0-1.34","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decision","","501","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","5","12","Pears Aplenty","Fruit/pears.png","Won","0.8,0.35","10","0.8","530","101","",""
"html-keyboard-response","313","291697","0.0-14.0-2.34","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L5.png' class='respPic'></div></div>","null","12","Pears Aplenty","Fruit/pears.png","Won","0.8,0.35","10","0.8","525","101","",""
"html-keyboard-response","314","292703","0.0-14.0-3.34","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 5</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>10</strong></font></div>","null","12","Pears Aplenty","Fruit/pears.png","Won","0.8,0.35","10","0.8","535","101","",""
"html-keyboard-response","315","293623","0.0-14.0-1.35","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decision","","919","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","1","12","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","12","0.2","540","102","",""
"html-keyboard-response","316","293881","0.0-14.0-2.35","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L1.png' class='respPic'></div></div>","null","12","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","12","0.2","539","102","",""
"html-keyboard-response","317","294886","0.0-14.0-3.35","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/grapes.png'><br><font class='baseline'><strong>Great Grapes</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 1</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>2</strong></font></div>","null","12","Great Grapes","Fruit/grapes.png","Won","0.2,0.65","12","0.2","541","102","",""
"html-keyboard-response","318","295378","0.0-14.0-1.36","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decision","","489","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","2","13","Odds are Orange","Fruit/orange.png","Lost","0.8,0.2","9","0.8","546","103","",""
"html-keyboard-response","319","295630","0.0-14.0-2.36","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","decisionFB","","null","","<div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L2.png' class='respPic'></div></div>","null","13","Odds are Orange","Fruit/orange.png","Lost","0.8,0.2","9","0.8","544","103","",""
"html-keyboard-response","320","296639","0.0-14.0-3.36","5c09a1171907db0001602601","bdp_rwlrn","Tue Mar 14 2023 11:11:02 GMT-0500 (Central Daylight Time)","382356","Trustworthy,Untrustworthy","","","","feedback","","null","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/orange.png'><br><font class='baseline'><strong>Odds are Orange</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","13","Odds are Orange","Fruit/orange.png","Lost","0.8,0.2","9","0.8","544","103","",""
