"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","labels","view_history","rt","event","trial","time","trialtype","success","numBlurs","stimulus","key_press","ltround","name","fileID","outcome","lottotype","lottoswpt","lottocurrpshare","point_total","round","faceID","face"
"html-keyboard-response","18","251286","0.0-11.0-3.2","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 2</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","1","Kiwi Kash","Fruit/Kiwi.png","Lost","0.8,0.35","8","0.8","20","3","",""
"html-keyboard-response","19","252133","0.0-11.0-1.3","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","846","","","","decision","","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","2","Awesome Apples","Fruit/apple.png","Won","0.35,0.8","11","0.35","25","4","",""
"html-keyboard-response","20","252389","0.0-11.0-2.3","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","2","Awesome Apples","Fruit/apple.png","Won","0.35,0.8","11","0.35","21","4","",""
"html-keyboard-response","21","253394","0.0-11.0-3.3","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/apple.png'><br><font class='baseline'><strong>Awesome Apples</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>8</strong></font></div>","null","2","Awesome Apples","Fruit/apple.png","Won","0.35,0.8","11","0.35","29","4","",""
"html-keyboard-response","22","254170","0.0-11.0-1.4","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","775","","","","decision","","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","4","2","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.65","13","0.35","34","5","",""
"html-keyboard-response","23","254437","0.0-11.0-2.4","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L4.png' class='respPic'></div></div>","null","2","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.65","13","0.35","30","5","",""
"html-keyboard-response","24","255451","0.0-11.0-3.4","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/pears.png'><br><font class='baseline'><strong>Pears Aplenty</strong><p><strong><font class='negOutcome'>You LOST</font><p>You bet: 4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>You receive: <strong>0</strong></font></div>","null","2","Pears Aplenty","Fruit/pears.png","Lost","0.35,0.65","13","0.35","30","5","",""
"html-keyboard-response","25","255804","0.0-11.0-1.5","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","351","","","","decision","","","<div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L.png' class='respPic'></div></div>","3","2","Kiwi Kash","Fruit/Kiwi.png","Won","0.8,0.35","8","0.8","35","6","",""
"html-keyboard-response","26","256070","0.0-11.0-2.5","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","decisionFB","","","<div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p>Choose number of points to bet.</font><div class='respPicDiv'><img src='img/responseButtonOffersNo0L3.png' class='respPic'></div></div>","null","2","Kiwi Kash","Fruit/Kiwi.png","Won","0.8,0.35","8","0.8","32","6","",""
"html-keyboard-response","27","257083","0.0-11.0-3.5","63dcc00d97b599698e60a1a6","bdp_rwlrn","Wed Mar 15 2023 19:19:32 GMT-0400 (Eastern Daylight Time)","583619","Trustworthy,Untrustworthy","","null","","","","feedback","","","<div class='respPicDiv'><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></div><div class='trialDiv'><img src='Fruit/Kiwi.png'><br><font class='baseline'><strong>Kiwi Kash</strong><p><strong><font class='posOutcome'>You WON</font><p>You bet: 3</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>you receive: <strong>6</strong></font></div>","null","2","Kiwi Kash","Fruit/Kiwi.png","Won","0.8,0.35","8","0.8","38","6","",""
