"event","trial","time","trialtype","subject_id","task","startTime","totalTime","labels","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"","","","rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","10","50978","0.0-6.0-1.2","","2307","","trustrating_stim/white_mw051.bmp","5","","","","","","","","",""
"","","","ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","11","51191","0.0-6.0-2.2","","null","","trustrating_stim/white_mw051.bmp","null","","","","","","","","",""
"","","","rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","12","53898","0.0-6.0-1.3","","2607","","trustrating_stim/white_mw058.bmp","3","","","","","","","","",""
"","","","ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","13","54110","0.0-6.0-2.3","","null","","trustrating_stim/white_mw058.bmp","null","","","","","","","","",""
"","","","rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","14","56617","0.0-6.0-1.4","","2408","","trustrating_stim/white_mw012.bmp","4","","","","","","","","",""
"","","","ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","15","56831","0.0-6.0-2.4","","null","","trustrating_stim/white_mw012.bmp","null","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","16","57846","0.0-7.0","[{""page_index"":0,""viewing_time"":896}]","896","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","17","96715","0.0-8.0","[{""page_index"":0,""viewing_time"":7960},{""page_index"":1,""viewing_time"":7738},{""page_index"":2,""viewing_time"":2712},{""page_index"":3,""viewing_time"":3442},{""page_index"":4,""viewing_time"":2958},{""page_index"":5,""viewing_time"":2464},{""page_index"":6,""viewing_time"":11490}]","38764","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","18","101721","0.0-9.0","","5005","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 0</p><p>b) 1</p><p>c) 5</p>","C","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","19","105122","0.0-10.0","","3294","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>1) What is the minimum number of points you can choose to send to your partner?</strong></p><p>a) 1</p><p>b) 1</p><p style='color:#FF0000'>c) 5</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The minimum number of points you can choose to send to your partner is 1 point.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","20","108362","0.0-11.0","","3123","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p>b) 5</p><p>c) 3</p>","B","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","21","109678","0.0-12.0","","1200","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>2) What is the maximum number of points you can choose to send to your partner?</strong></p><p>a) 8</p><p style='color:#00FF00'>b) 5</p><p>c) 3</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is b).</h3><h3 class='center-content'>The maximum number of points you can choose to send to your partner is 5 points.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","22","113726","0.0-13.0","","3946","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p>c) It quadruples</p>","C","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","23","114414","0.0-14.0","","576","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>3) What happens to the amount of points you send to your partner?</strong></p><p>a) Nothing</p><p>b) It doubles</p><p style='color:#00FF00'>c) It quadruples</p><h3 style='color:#00FF00'>Correct!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>The amount of points you send to your partner quadruples.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","24","123236","0.0-15.0","","8718","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 out of 5 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p>a) 16</p><p>b) 0</p><p>c) 9</p>","A","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","25","129178","0.0-16.0","","5839","","<div class='header' style='text-align:left; position: absolute; top: 5%; left: 5%;'><small>Task 3 of 4</small></div><div style='text-align:left; position: absolute; top: 10%; left: 20%; width: 60%'><p><strong>4) If you decide to share 4 points with your partner, and he decided to share half of what he received, how many points would you end up with in this round?</strong></p><p style='color:#FF0000'>a) 16</p><p>b) 0</p><p>c) 9</p><h3 style='color:#FF0000'>Incorrect!</h3><h3 class='center-content'>The correct response is c).</h3><h3 class='center-content'>If you share 4 out of 5 points with your partner and he decided to share half with you, you would receive 8 points back (i.e. (4 x 4)/2 = 8), totaling to 9 points altogether.</h3><p><em>Press SPACEBAR to continue</em></p></div>"," ","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","26","132752","0.0-17.0","[{""page_index"":0,""viewing_time"":3455}]","3455","","","","","","","","","","","",""
"","","","decision","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","27","134698","0.0-18.0-1.0","","1841","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 5</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","4","1","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","5","1"
"","","","decisionFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","28","135717","0.0-18.0-2.0","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 1</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L4.png' class='respPic'></p></div>","null","1","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","1","1"
"","","","feedback","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","29","137736","0.0-18.0-3.0","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 1</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Received: <strong>16</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>8</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","9","1"
"","","","decision","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","30","138287","0.0-18.0-1.1","","551","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 14</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Jonathan","trustrating_stim/white_mw035.bmp","Kept","0.4,0.8","9","0.4","14","2"
"","","","decisionFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","31","139297","0.0-18.0-2.1","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Jonathan","trustrating_stim/white_mw035.bmp","Kept","0.4,0.8","9","0.4","9","2"
"","","","feedback","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","32","141317","0.0-18.0-3.1","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 2</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw035.bmp'><br><font class='baseline'><strong>Jonathan</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Jonathan","trustrating_stim/white_mw035.bmp","Kept","0.4,0.8","9","0.4","9","2"
"","","","decision","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","33","141843","0.0-18.0-1.2","","526","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 14</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Timothy","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.2,0.6","11","0.2","14","3"
"","","","decisionFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","34","142857","0.0-18.0-2.2","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Timothy","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.2,0.6","11","0.2","9","3"
"","","","feedback","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","35","144877","0.0-18.0-3.2","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 3</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00785_941205_fb_edt.bmp'><br><font class='baseline'><strong>Timothy</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Timothy","trustrating_stim/white_00785_941205_fb_edt.bmp","Kept","0.2,0.6","11","0.2","9","3"
"","","","decision","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","36","145389","0.0-18.0-1.3","","512","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 14</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Richard</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","1","Richard","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","13","0.8","14","4"
"","","","decisionFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","37","146397","0.0-18.0-2.3","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 9</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Richard</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","1","Richard","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","13","0.8","9","4"
"","","","feedback","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","38","148416","0.0-18.0-3.3","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 19</td><td style='text-align:right'>Round #: 4</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Richard</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","1","Richard","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","13","0.8","19","4"
"","","","decision","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","39","150779","0.0-18.0-1.4","","2362","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 24</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","2","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","24","5"
"","","","decisionFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","40","151796","0.0-18.0-2.4","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 19</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","2","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","19","5"
"","","","feedback","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","html-keyboard-response","41","153816","0.0-18.0-3.4","","null","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 29</td><td style='text-align:right'>Round #: 5</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Matthew</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","2","Matthew","trustrating_stim/white_mw089.bmp","Shared","0.6,0.2","15","0.6","29","5"
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","instructions","42","161717","0.0-19.0","[{""page_index"":0,""viewing_time"":1373},{""page_index"":1,""viewing_time"":2910},{""page_index"":2,""viewing_time"":3618}]","7901","","","","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","43","164259","0.0-20.0-1.0","","2541","","trustrating_stim/white_mw035.bmp","2","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","44","164475","0.0-20.0-2.0","","null","","trustrating_stim/white_mw035.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","45","168596","0.0-20.0-1.1","","4020","","trustrating_stim/white_mw071.bmp","9","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","46","168815","0.0-20.0-2.1","","null","","trustrating_stim/white_mw071.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","47","171292","0.0-20.0-1.2","","2376","","trustrating_stim/white_mw089.bmp","9","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","48","171496","0.0-20.0-2.2","","null","","trustrating_stim/white_mw089.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","49","172930","0.0-20.0-1.3","","1334","","trustrating_stim/white_mw046.bmp","1","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","50","173135","0.0-20.0-2.3","","null","","trustrating_stim/white_mw046.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","51","177718","0.0-20.0-1.4","","4483","","trustrating_stim/white_mw099.bmp","3","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","52","177935","0.0-20.0-2.4","","null","","trustrating_stim/white_mw099.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","53","180058","0.0-20.0-1.5","","2023","","trustrating_stim/white_00785_941205_fb_edt.bmp","1","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","54","180275","0.0-20.0-2.5","","null","","trustrating_stim/white_00785_941205_fb_edt.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","55","182932","0.0-20.0-1.6","","2541","","trustrating_stim/white_mw084.bmp","4","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","56","183134","0.0-20.0-2.6","","null","","trustrating_stim/white_mw084.bmp","null","","","","","","","","",""
"","","","final_rating","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","57","185812","0.0-20.0-1.7","","2577","","trustrating_stim/white_00761_941201_fb_edt.bmp","4","","","","","","","","",""
"","","","final_ratingFB","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","image-keyboard-response","58","186014","0.0-20.0-2.7","","null","","trustrating_stim/white_00761_941201_fb_edt.bmp","null","","","","","","","","",""
"fullscreenexit","59","186357","fullscreenexit","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","","","","","","","","","","","","","","","","","",""
"","","","","pilottest","bdp_trlrn","Tue Nov 24 2020 12:47:22 GMT-0500 (Eastern Standard Time)","187115","Untrustworthy,Trustworthy","fullscreen","59","187115","0.0-21.0","","","true","","","","","","","","","","",""
"","","","","","","","","","html-keyboard-response","60","187635","0.0-22.0","","null","","","null","","","","","","","","",""
