"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","numBlurs","success","stimulus","key_press","aground","name","face","outcome","agenttype","agentswpt","agentcurrpshare","point_total","round"
"html-keyboard-response","114","239325","0.0-18.0-1.6","","1321","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 42</td><td style='text-align:right'>Round #: 7</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","2","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","42","7"
"html-keyboard-response","115","240329","0.0-18.0-2.6","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 37</td><td style='text-align:right'>Round #: 7</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","2","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","37","7"
"html-keyboard-response","116","242332","0.0-18.0-3.6","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 47</td><td style='text-align:right'>Round #: 7</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","2","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Shared","0.2,0.6","11","0.2","47","7"
"html-keyboard-response","117","244965","0.0-18.0-1.7","","2632","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 52</td><td style='text-align:right'>Round #: 8</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","3","2","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","52","8"
"html-keyboard-response","118","245969","0.0-18.0-2.7","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 49</td><td style='text-align:right'>Round #: 8</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L3.png' class='respPic'></p></div>","null","2","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","49","8"
"html-keyboard-response","119","247972","0.0-18.0-3.7","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 55</td><td style='text-align:right'>Round #: 8</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Received: <strong>12</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>6</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","2","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","55","8"
"html-keyboard-response","120","249397","0.0-18.0-1.8","","1423","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 60</td><td style='text-align:right'>Round #: 9</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","1","3","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","60","9"
"html-keyboard-response","121","250398","0.0-18.0-2.8","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 59</td><td style='text-align:right'>Round #: 9</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L1.png' class='respPic'></p></div>","null","3","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","59","9"
"html-keyboard-response","122","252400","0.0-18.0-3.8","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 61</td><td style='text-align:right'>Round #: 9</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw071.bmp'><br><font class='baseline'><strong>Nathan</strong><p>Received: <strong>4</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>2</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","3","Nathan","trustrating_stim/white_mw071.bmp","Shared","0.8,0.4","12","0.8","61","9"
"html-keyboard-response","123","253013","0.0-18.0-1.9","","611","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 66</td><td style='text-align:right'>Round #: 10</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","2","3","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","66","10"
"html-keyboard-response","124","254017","0.0-18.0-2.9","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 64</td><td style='text-align:right'>Round #: 10</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L2.png' class='respPic'></p></div>","null","3","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","64","10"
"html-keyboard-response","125","256023","0.0-18.0-3.9","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 68</td><td style='text-align:right'>Round #: 10</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Received: <strong>8</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>4</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","3","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","68","10"
"html-keyboard-response","126","257958","0.0-18.0-1.10","","1933","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 73</td><td style='text-align:right'>Round #: 11</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","3","Devin","trustrating_stim/white_mw089.bmp","Kept","0.4,0.8","9","0.4","73","11"
"html-keyboard-response","127","258960","0.0-18.0-2.10","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 68</td><td style='text-align:right'>Round #: 11</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","3","Devin","trustrating_stim/white_mw089.bmp","Kept","0.4,0.8","9","0.4","68","11"
"html-keyboard-response","128","260963","0.0-18.0-3.10","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 68</td><td style='text-align:right'>Round #: 11</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","3","Devin","trustrating_stim/white_mw089.bmp","Kept","0.4,0.8","9","0.4","68","11"
"html-keyboard-response","129","262194","0.0-18.0-1.11","","1230","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 73</td><td style='text-align:right'>Round #: 12</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","3","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Kept","0.2,0.6","11","0.2","73","12"
"html-keyboard-response","130","263196","0.0-18.0-2.11","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 68</td><td style='text-align:right'>Round #: 12</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","3","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Kept","0.2,0.6","11","0.2","68","12"
"html-keyboard-response","131","265201","0.0-18.0-3.11","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 68</td><td style='text-align:right'>Round #: 12</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_00761_941201_fb_edt.bmp'><br><font class='baseline'><strong>Joseph</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='negOutcome'>Shared back: <strong>0</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","3","Joseph","trustrating_stim/white_00761_941201_fb_edt.bmp","Kept","0.2,0.6","11","0.2","68","12"
"html-keyboard-response","132","268549","0.0-18.0-1.12","","3347","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 73</td><td style='text-align:right'>Round #: 13</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","3","4","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","73","13"
"html-keyboard-response","133","269551","0.0-18.0-2.12","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 70</td><td style='text-align:right'>Round #: 13</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L3.png' class='respPic'></p></div>","null","4","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","70","13"
"html-keyboard-response","134","271552","0.0-18.0-3.12","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 76</td><td style='text-align:right'>Round #: 13</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw099.bmp'><br><font class='baseline'><strong>Ethan</strong><p>Received: <strong>12</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>6</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","4","Ethan","trustrating_stim/white_mw099.bmp","Shared","0.6,0.2","14","0.6","76","13"
"html-keyboard-response","135","273469","0.0-18.0-1.13","","1915","","","","decision","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 81</td><td style='text-align:right'>Round #: 14</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L.png' class='respPic'></p></div>","5","4","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","81","14"
"html-keyboard-response","136","274471","0.0-18.0-2.13","","null","","","","decisionFB","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 76</td><td style='text-align:right'>Round #: 14</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Choose number of points to send.</font><p><img src='img/responseButtonOffersNo0L5.png' class='respPic'></p></div>","null","4","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","76","14"
"html-keyboard-response","137","276477","0.0-18.0-3.13","","null","","","","feedback","","","<div class='pointsDiv'><table width=550px><tr><td>Current Point Total: 86</td><td style='text-align:right'>Round #: 14</td></tr></table></div><div class='trialDiv'><img src='trustrating_stim/white_mw089.bmp'><br><font class='baseline'><strong>Devin</strong><p>Received: <strong>20</strong></font> &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;<font class='posOutcome'>Shared back: <strong>10</strong></font><p><img src='img/responseButtonOffersNo0_wht.png' class='respPic'></p></font></div>","null","4","Devin","trustrating_stim/white_mw089.bmp","Shared","0.4,0.8","9","0.4","86","14"
"","","","","","","blur","138","813700","blurevent","1","","","","","","","","","","","",""
