PROLIFIC_PID,totalTime,PID,subjLR_3prm,subjD_3prm,subjp0_3prm,subjNLL_3prm,subjLRTp_3prm,qa:dec_%rt<300,qa:dec_%rt>10000,qa:dec_%Conseqs,qa:dec_instruxDur,qa:frat_%rt<300,qa:frat_%rt>10000,qa:frat_%Conseqs,qa:frat_instruxDur,qa:blurEv
60f08e2a0d6d27ff93244345,377.922,,0.05209386462110752,0.2849806382638136,0.2787850955418619,206.87131952779418,0.0008407835126627767,0.4015151515151515,0.0,0.21212121212121213,11.96,0.0,0.0,0.16666666666666666,21.08,0.0
5d42abf3c9acd700010c41df,365.708,,0.19197887899321392,0.4633906473267795,0.8382058001269711,205.63887345281643,0.00022452154382202985,0.3106060606060606,0.0,0.1893939393939394,8.22,0.5,0.0,0.16666666666666666,11.62,0.0
5d5af711bb10640001afd133,465.404,,0.07113114625786424,0.550285335022571,1.0,183.57732521134565,2.996199898364158e-14,0.09848484848484848,0.0,0.4318181818181818,7.29,0.0,0.0,0.16666666666666666,11.6,0.0
6150e9017c1b2aa8bf683c32,666.802,,0.02453391666607966,0.8655624251992077,0.29286094782094985,211.58801196556828,0.1902623520397846,0.007575757575757576,0.0,0.03787878787878788,21.4,0.0,0.16666666666666666,0.0,38.97,0.0
60beba435afc451476fa7781,363.729,,0.07403933691070068,0.6041188392069256,0.9859341199256159,204.3706439146971,5.850865132145136e-05,0.14393939393939395,0.0,0.2878787878787879,7.75,0.0,0.0,0.0,11.17,0.0
63d1b93d9abc8c4b40e2d92f,458.719,,0.04630451013193881,0.1672834480412044,-0.14015674461472136,210.34901683565013,0.04057743745836081,0.11363636363636363,0.007575757575757576,0.1590909090909091,4.16,0.0,0.0,0.16666666666666666,13.54,9.0
63652b3ed1f35f8e04325845,515.411,,4.5397868702434395e-05,0.9508051039248259,-0.5082635343881191,204.586724440004,7.351496994229972e-05,0.2878787878787879,0.007575757575757576,0.09848484848484848,19.81,0.0,0.0,0.0,57.27,0.0
63dab0380b8791f9560fd329,419.069,,0.15176654397978884,0.521050624341527,-0.1861610053475888,196.62465947222097,1.8534900118322428e-08,0.06818181818181818,0.0,0.2727272727272727,3.8,0.0,0.0,0.3333333333333333,8.37,3.0
63d80b500adef5b476e289a4,349.97,,4.5397868702434395e-05,4.5397868702434395e-05,1.0,117.43643930433196,3.149507374610435e-43,0.3333333333333333,0.0,0.9924242424242424,2.15,0.0,0.0,0.6666666666666666,15.12,0.0
5f48dab70aa4ce3aa1914003,455.614,,0.2240307785304277,0.4246767670665178,0.13030919733891044,188.42113784746047,4.156289466789927e-12,0.007575757575757576,0.0,0.2878787878787879,28.78,0.0,0.0,0.16666666666666666,20.28,0.0
6400d9993ddcc2436a9f2e1a,338.756,,0.709330844510989,0.7475064504557555,-0.41966550753174264,204.3888570179222,5.964481927278263e-05,0.5075757575757576,0.0,0.2803030303030303,7.85,0.0,0.0,0.0,5.78,1.0
63cff34d33a9948e3b0b28d6,394.457,,0.11052114069366324,4.5397868702434395e-05,1.0,174.4600334363704,2.8778240529276433e-18,0.0,0.0,0.49242424242424243,6.77,0.0,0.0,0.0,12.01,0.0
63e55887d67a5c7e32a678fa,361.036,,0.044494296859604786,4.5397868702434395e-05,1.0,181.96984653334755,5.848598995423355e-15,0.2727272727272727,0.0,0.16666666666666666,4.72,0.0,0.0,0.5,16.88,1.0
63d81e2fb6c8f0da25fea602,503.534,,4.5397868702434395e-05,4.5397868702434395e-05,1.0,182.59126171060421,1.0996770838224974e-14,0.2727272727272727,0.0,0.24242424242424243,12.85,0.0,0.0,0.0,42.29,0.0
6400da061dc90debed65731b,487.098,,0.1863745783073906,0.37784342645245383,-0.5406887128756742,206.65083761328881,0.0006630977777813285,0.45454545454545453,0.0,0.25,21.99,0.0,0.0,0.0,39.5,0.0
610189e61b2d3520eea21de6,401.78,,0.24009108017841052,4.5397868702434395e-05,1.0,159.14472587581247,5.441394126479148e-25,0.030303030303030304,0.0,0.49242424242424243,12.03,0.0,0.0,0.16666666666666666,13.25,0.0
5fa5a899f2b7600f72104ad1,318.016,,0.6256644057189537,4.5397868702434395e-05,1.0,167.90762352610204,3.79862918298991e-21,0.3787878787878788,0.0,0.4318181818181818,2.54,0.0,0.0,0.16666666666666666,6.46,0.0
5e223f4219295951f846dd16,465.802,,0.004232081345007146,0.9998775200470794,0.9567483536275574,192.80506249307493,3.6690421941030576e-10,0.18181818181818182,0.007575757575757576,0.36363636363636365,2.29,0.0,0.0,0.3333333333333333,13.86,0.0
5df1133b99b28201e0a1181c,335.147,,0.08984785234076742,0.17576568520190264,0.3194851736315548,201.72859380457936,3.6613874857763917e-06,0.3409090909090909,0.0,0.09848484848484848,3.82,0.0,0.0,0.0,9.52,0.0
60fd738c235e974993ad455c,500.611,,0.1791483932783344,0.8078247784908176,0.23160896304588333,196.29744531980722,1.3233665524552518e-08,0.05303030303030303,0.0,0.30303030303030304,10.52,0.0,0.16666666666666666,0.16666666666666666,27.41,0.0
63b6ef9027eb90f292852ee4,510.67,,0.534097987437006,0.5332655262696134,-0.028947748644520307,167.83862896213031,3.5426966532294004e-21,0.0,0.0,0.30303030303030304,5.51,0.0,0.0,0.0,66.93,1.0
5e2cd786dc63ca2ff798a0ca,499.076,,0.022096479590054226,4.5397868702434395e-05,-0.33835167275686423,211.5338244073502,0.17684262122005706,0.14393939393939395,0.022727272727272728,0.48484848484848486,1.8,0.0,0.0,0.16666666666666666,3.63,0.0
5bbc4bd1f83ac60001fe665e,455.817,,0.22201256154044022,0.398262799595855,0.15864781120864838,193.32736886977082,6.265722566511065e-10,0.0,0.0,0.25,5.68,0.0,0.0,0.0,16.1,0.0
64013f9fa92a5dd2d30c5575,597.098,,4.5405163999449034e-05,0.9994363546881139,-0.12870359412036808,211.89787798703526,0.2951780222630471,0.03787878787878788,0.0,0.3181818181818182,16.65,0.0,0.0,0.8333333333333334,36.78,0.0
63ea6fc5092518554c9b8111,401.278,,0.05169080309434761,0.999675634820878,-0.6712268424298816,192.37596503494618,2.3643739371055513e-10,0.030303030303030304,0.0,0.4318181818181818,5.6,0.0,0.0,0.16666666666666666,30.6,0.0
63bb98852cdc67dece8adb8e,461.593,,0.2698763089168675,0.6253955992063566,-0.7172059078169973,192.57786271945616,2.9073443037991984e-10,0.022727272727272728,0.0,0.15151515151515152,4.28,0.0,0.0,0.0,26.28,0.0
5c59d8105bbd810001fb26de,812.213,,0.03570496258884282,4.5397868702434395e-05,0.8836266344486353,187.95064732558944,2.572295910975378e-12,0.5984848484848485,0.022727272727272728,0.22727272727272727,15.99,0.0,0.16666666666666666,0.16666666666666666,32.28,0.0
55d86f3569dbc30012b6869f,402.148,,0.16566181160534565,0.39989891843528197,-0.32261957730363516,206.6827697132869,0.0006862695941067804,0.09090909090909091,0.0,0.3409090909090909,2.0,0.0,0.0,0.16666666666666666,16.39,0.0
63d1401242635aaffe867c4c,582.214,,0.3856355223133428,0.3812761415542899,1.0,172.7568310942204,5.129549953873484e-19,0.0,0.0,0.3560606060606061,16.17,0.0,0.0,0.0,27.76,0.0
63bd81516745e78ee7f50f7f,480.843,,4.5397868702434395e-05,4.5397868702434395e-05,1.0,182.1300957276519,6.882672623321811e-15,0.09090909090909091,0.0,0.5,3.91,0.0,0.0,0.3333333333333333,30.53,1.0
6362406ab7caf5fc96bb61c8,662.277,,4.5397868702434395e-05,0.9999546021312976,-0.7630363894111049,196.33420807799305,1.3744031816657284e-08,0.09090909090909091,0.0,0.25,8.49,0.0,0.0,0.16666666666666666,33.42,1.0
5c9432caec114b0001419276,598.505,,0.0020134151324855873,4.5397868702434395e-05,-0.25079732226896095,210.8405825417785,0.07316963441412357,0.08333333333333333,0.0,0.08333333333333333,9.29,0.0,0.0,0.16666666666666666,85.89,0.0
60bafed1d4e636dce6350863,394.952,,0.33920106329072114,0.7544602870826502,-0.7274970597834579,187.1659108464776,1.1558931796708723e-12,0.25757575757575757,0.0,0.3787878787878788,4.47,0.0,0.0,0.16666666666666666,20.72,1.0
63b82398bbe6a599972413ad,540.142,,0.5725519331886307,0.9969811533769684,0.22553747898670065,163.338827654068,3.755344487548714e-23,0.0,0.0,0.4090909090909091,3.34,0.0,0.0,0.5,18.09,0.0
608590825d295c858cbe7fa9,399.734,,0.008629303759558721,4.5397868702434395e-05,0.15792967292089982,210.47665941044684,0.047198730415484114,0.13636363636363635,0.0,0.3560606060606061,4.83,0.0,0.0,0.0,31.57,1.0
6400d916e410c86255a45836,404.563,,0.44098407637725967,4.5397868702434395e-05,-0.7170845481377318,179.7090138184388,5.889824976870508e-16,0.18181818181818182,0.0,0.48484848484848486,4.86,0.0,0.0,0.0,17.55,1.0
63f794e7d8d24753edbbb136,707.574,,0.6484173430437539,0.17022734129145956,1.0,154.78034408325425,6.660221151927724e-27,0.0,0.0,0.5151515151515151,28.07,0.0,0.0,0.3333333333333333,50.44,0.0
5b9b422307c6960001614c35,590.323,,0.27871956607519766,4.5397868702434395e-05,1.0,163.9947074890146,7.283792474104119e-23,0.045454545454545456,0.0,0.4318181818181818,31.98,0.0,0.0,0.16666666666666666,41.86,0.0
