"trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","event","trial","time","trialtype","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses","numBlurs"
"image-keyboard-response","10","19261","0.0-5.0-1.3","","406","","","","","","img/2to1/1.png","2","222","750","0.6","0.6","2","3","","",""
"animation","11","20564","0.0-5.0-2.3","","","","","","","","","","222","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":108},{""stimulus"":""img/2to3/2.png"",""time"":215},{""stimulus"":""img/2to3/3.png"",""time"":309},{""stimulus"":""img/2to3/4.png"",""time"":420},{""stimulus"":""img/2to3/5.png"",""time"":513},{""stimulus"":""img/2to3/6.png"",""time"":620},{""stimulus"":""img/2to3/7.png"",""time"":713},{""stimulus"":""img/2to3/8.png"",""time"":809},{""stimulus"":""img/2to3/9.png"",""time"":915},{""stimulus"":""img/2to3/10.png"",""time"":1023},{""stimulus"":""img/2to3/11.png"",""time"":1118},{""stimulus"":""img/2to3/12.png"",""time"":1210}]","[]",""
"image-keyboard-response","12","21324","0.0-5.0-1.4","","null","","","","","","img/3to2/1.png","null","221","750","0.6","0.6","3","1","","",""
"animation","13","22634","0.0-5.0-2.4","","","","","","","","","","221","750","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":202},{""stimulus"":""img/3to1/3.png"",""time"":313},{""stimulus"":""img/3to1/4.png"",""time"":405},{""stimulus"":""img/3to1/5.png"",""time"":512},{""stimulus"":""img/3to1/6.png"",""time"":604},{""stimulus"":""img/3to1/7.png"",""time"":706},{""stimulus"":""img/3to1/8.png"",""time"":808},{""stimulus"":""img/3to1/9.png"",""time"":918},{""stimulus"":""img/3to1/10.png"",""time"":1010},{""stimulus"":""img/3to1/11.png"",""time"":1120},{""stimulus"":""img/3to1/12.png"",""time"":1202}]","[]",""
"image-keyboard-response","14","23392","0.0-5.0-1.5","","null","","","","","","img/1to3/1.png","null","220","750","0.6","0.6","1","2","","",""
"animation","15","24696","0.0-5.0-2.5","","","","","","","","","","220","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":202},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":419},{""stimulus"":""img/1to2/5.png"",""time"":511},{""stimulus"":""img/1to2/6.png"",""time"":619},{""stimulus"":""img/1to2/7.png"",""time"":712},{""stimulus"":""img/1to2/8.png"",""time"":806},{""stimulus"":""img/1to2/9.png"",""time"":915},{""stimulus"":""img/1to2/10.png"",""time"":1008},{""stimulus"":""img/1to2/11.png"",""time"":1101},{""stimulus"":""img/1to2/12.png"",""time"":1210}]","[]",""
"image-keyboard-response","16","25292","0.0-5.0-1.6","","595","","","","","","img/2to1/1.png","1","219","750","0.6","0.6","2","1","","",""
"animation","17","26612","0.0-5.0-2.6","","","","","","","","","","219","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":120},{""stimulus"":""img/2to1/2.png"",""time"":213},{""stimulus"":""img/2to1/3.png"",""time"":305},{""stimulus"":""img/2to1/4.png"",""time"":415},{""stimulus"":""img/2to1/5.png"",""time"":510},{""stimulus"":""img/2to1/6.png"",""time"":602},{""stimulus"":""img/2to1/7.png"",""time"":711},{""stimulus"":""img/2to1/8.png"",""time"":806},{""stimulus"":""img/2to1/9.png"",""time"":917},{""stimulus"":""img/2to1/10.png"",""time"":1010},{""stimulus"":""img/2to1/11.png"",""time"":1120},{""stimulus"":""img/2to1/12.png"",""time"":1213}]","[]",""
"image-keyboard-response","18","27369","0.0-5.0-1.7","","null","","","","","","img/1to3/1.png","null","218","750","0.6","0.6","1","3","","",""
"animation","19","28688","0.0-5.0-2.7","","","","","","","","","","218","750","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":108},{""stimulus"":""img/1to3/2.png"",""time"":218},{""stimulus"":""img/1to3/3.png"",""time"":310},{""stimulus"":""img/1to3/4.png"",""time"":417},{""stimulus"":""img/1to3/5.png"",""time"":510},{""stimulus"":""img/1to3/6.png"",""time"":618},{""stimulus"":""img/1to3/7.png"",""time"":711},{""stimulus"":""img/1to3/8.png"",""time"":804},{""stimulus"":""img/1to3/9.png"",""time"":912},{""stimulus"":""img/1to3/10.png"",""time"":1007},{""stimulus"":""img/1to3/11.png"",""time"":1117},{""stimulus"":""img/1to3/12.png"",""time"":1211}]","[]",""
"image-keyboard-response","20","29449","0.0-5.0-1.8","","null","","","","","","img/3to2/1.png","null","217","750","0.6","0.6","3","2","","",""
"animation","21","30755","0.0-5.0-2.8","","","","","","","","","","217","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":202},{""stimulus"":""img/3to2/3.png"",""time"":310},{""stimulus"":""img/3to2/4.png"",""time"":419},{""stimulus"":""img/3to2/5.png"",""time"":513},{""stimulus"":""img/3to2/6.png"",""time"":606},{""stimulus"":""img/3to2/7.png"",""time"":701},{""stimulus"":""img/3to2/8.png"",""time"":807},{""stimulus"":""img/3to2/9.png"",""time"":901},{""stimulus"":""img/3to2/10.png"",""time"":1011},{""stimulus"":""img/3to2/11.png"",""time"":1104},{""stimulus"":""img/3to2/12.png"",""time"":1215}]","[]",""
"image-keyboard-response","22","31336","0.0-5.0-1.9","","581","","","","","","img/2to1/1.png","2","216","750","0.6","0.6","2","3","","",""
"animation","23","32645","0.0-5.0-2.9","","","","","","","","","","216","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":104},{""stimulus"":""img/2to3/2.png"",""time"":210},{""stimulus"":""img/2to3/3.png"",""time"":304},{""stimulus"":""img/2to3/4.png"",""time"":410},{""stimulus"":""img/2to3/5.png"",""time"":503},{""stimulus"":""img/2to3/6.png"",""time"":610},{""stimulus"":""img/2to3/7.png"",""time"":704},{""stimulus"":""img/2to3/8.png"",""time"":812},{""stimulus"":""img/2to3/9.png"",""time"":904},{""stimulus"":""img/2to3/10.png"",""time"":1011},{""stimulus"":""img/2to3/11.png"",""time"":1102},{""stimulus"":""img/2to3/12.png"",""time"":1206}]","[]",""
"image-keyboard-response","24","33403","0.0-5.0-1.10","","null","","","","","","img/3to2/1.png","null","215","750","0.6","0.6","3","2","","",""
"animation","25","34723","0.0-5.0-2.10","","","","","","","","","","215","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":109},{""stimulus"":""img/3to2/2.png"",""time"":217},{""stimulus"":""img/3to2/3.png"",""time"":310},{""stimulus"":""img/3to2/4.png"",""time"":405},{""stimulus"":""img/3to2/5.png"",""time"":507},{""stimulus"":""img/3to2/6.png"",""time"":607},{""stimulus"":""img/3to2/7.png"",""time"":707},{""stimulus"":""img/3to2/8.png"",""time"":809},{""stimulus"":""img/3to2/9.png"",""time"":917},{""stimulus"":""img/3to2/10.png"",""time"":1009},{""stimulus"":""img/3to2/11.png"",""time"":1119},{""stimulus"":""img/3to2/12.png"",""time"":1203}]","[]",""
"image-keyboard-response","26","35768","0.0-5.0-1.11","","1045","","","","","","img/2to1/1.png","1","214","750","0.6","0.6","2","1","","",""
"animation","27","37079","0.0-5.0-2.11","","","","","","","","","","214","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":110},{""stimulus"":""img/2to1/2.png"",""time"":220},{""stimulus"":""img/2to1/3.png"",""time"":313},{""stimulus"":""img/2to1/4.png"",""time"":420},{""stimulus"":""img/2to1/5.png"",""time"":514},{""stimulus"":""img/2to1/6.png"",""time"":609},{""stimulus"":""img/2to1/7.png"",""time"":704},{""stimulus"":""img/2to1/8.png"",""time"":814},{""stimulus"":""img/2to1/9.png"",""time"":902},{""stimulus"":""img/2to1/10.png"",""time"":1015},{""stimulus"":""img/2to1/11.png"",""time"":1107},{""stimulus"":""img/2to1/12.png"",""time"":1206}]","[]",""
"image-keyboard-response","28","37839","0.0-5.0-1.12","","null","","","","","","img/1to3/1.png","null","213","750","0.6","0.6","1","2","","",""
"animation","29","39142","0.0-5.0-2.12","","","","","","","","","","213","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":218},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":418},{""stimulus"":""img/1to2/5.png"",""time"":511},{""stimulus"":""img/1to2/6.png"",""time"":620},{""stimulus"":""img/1to2/7.png"",""time"":703},{""stimulus"":""img/1to2/8.png"",""time"":809},{""stimulus"":""img/1to2/9.png"",""time"":904},{""stimulus"":""img/1to2/10.png"",""time"":1014},{""stimulus"":""img/1to2/11.png"",""time"":1109},{""stimulus"":""img/1to2/12.png"",""time"":1220}]","[]",""
"image-keyboard-response","30","39236","0.0-5.0-1.13","","94","","","","","","img/2to1/1.png","2","212","750","0.6","0.6","2","3","","",""
"animation","31","40542","0.0-5.0-2.13","","","","","","","","","","212","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":120},{""stimulus"":""img/2to3/2.png"",""time"":202},{""stimulus"":""img/2to3/3.png"",""time"":306},{""stimulus"":""img/2to3/4.png"",""time"":415},{""stimulus"":""img/2to3/5.png"",""time"":506},{""stimulus"":""img/2to3/6.png"",""time"":614},{""stimulus"":""img/2to3/7.png"",""time"":705},{""stimulus"":""img/2to3/8.png"",""time"":816},{""stimulus"":""img/2to3/9.png"",""time"":909},{""stimulus"":""img/2to3/10.png"",""time"":1016},{""stimulus"":""img/2to3/11.png"",""time"":1112},{""stimulus"":""img/2to3/12.png"",""time"":1203}]","[]",""
"image-keyboard-response","32","41296","0.0-5.0-1.14","","null","","","","","","img/3to2/1.png","null","211","750","0.6","0.6","3","1","","",""
"animation","33","42603","0.0-5.0-2.14","","","","","","","","","","211","750","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":218},{""stimulus"":""img/3to1/3.png"",""time"":314},{""stimulus"":""img/3to1/4.png"",""time"":406},{""stimulus"":""img/3to1/5.png"",""time"":514},{""stimulus"":""img/3to1/6.png"",""time"":606},{""stimulus"":""img/3to1/7.png"",""time"":713},{""stimulus"":""img/3to1/8.png"",""time"":806},{""stimulus"":""img/3to1/9.png"",""time"":916},{""stimulus"":""img/3to1/10.png"",""time"":1009},{""stimulus"":""img/3to1/11.png"",""time"":1105},{""stimulus"":""img/3to1/12.png"",""time"":1214}]","[]",""
"image-keyboard-response","34","43365","0.0-5.0-1.15","","null","","","","","","img/1to3/1.png","null","210","750","0.6","0.6","1","2","","",""
"animation","35","44670","0.0-5.0-2.15","","","","","","","","","","210","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":208},{""stimulus"":""img/1to2/3.png"",""time"":304},{""stimulus"":""img/1to2/4.png"",""time"":413},{""stimulus"":""img/1to2/5.png"",""time"":505},{""stimulus"":""img/1to2/6.png"",""time"":608},{""stimulus"":""img/1to2/7.png"",""time"":717},{""stimulus"":""img/1to2/8.png"",""time"":810},{""stimulus"":""img/1to2/9.png"",""time"":903},{""stimulus"":""img/1to2/10.png"",""time"":1014},{""stimulus"":""img/1to2/11.png"",""time"":1108},{""stimulus"":""img/1to2/12.png"",""time"":1208}]","[]",""
"image-keyboard-response","36","45047","0.0-5.0-1.16","","376","","","","","","img/2to1/1.png","1","209","750","0.6","0.6","2","1","","",""
"animation","37","46350","0.0-5.0-2.16","","","","","","","","","","209","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":112},{""stimulus"":""img/2to1/2.png"",""time"":221},{""stimulus"":""img/2to1/3.png"",""time"":314},{""stimulus"":""img/2to1/4.png"",""time"":409},{""stimulus"":""img/2to1/5.png"",""time"":503},{""stimulus"":""img/2to1/6.png"",""time"":608},{""stimulus"":""img/2to1/7.png"",""time"":704},{""stimulus"":""img/2to1/8.png"",""time"":813},{""stimulus"":""img/2to1/9.png"",""time"":903},{""stimulus"":""img/2to1/10.png"",""time"":1007},{""stimulus"":""img/2to1/11.png"",""time"":1106},{""stimulus"":""img/2to1/12.png"",""time"":1213}]","[]",""
"image-keyboard-response","38","47117","0.0-5.0-1.17","","null","","","","","","img/1to3/1.png","null","208","750","0.6","0.6","1","3","","",""
"animation","39","48431","0.0-5.0-2.17","","","","","","","","","","208","750","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":110},{""stimulus"":""img/1to3/2.png"",""time"":217},{""stimulus"":""img/1to3/3.png"",""time"":308},{""stimulus"":""img/1to3/4.png"",""time"":416},{""stimulus"":""img/1to3/5.png"",""time"":509},{""stimulus"":""img/1to3/6.png"",""time"":615},{""stimulus"":""img/1to3/7.png"",""time"":708},{""stimulus"":""img/1to3/8.png"",""time"":814},{""stimulus"":""img/1to3/9.png"",""time"":906},{""stimulus"":""img/1to3/10.png"",""time"":1016},{""stimulus"":""img/1to3/11.png"",""time"":1111},{""stimulus"":""img/1to3/12.png"",""time"":1222}]","[]",""
"image-keyboard-response","40","49197","0.0-5.0-1.18","","null","","","","","","img/3to2/1.png","null","207","750","0.6","0.6","3","1","","",""
"animation","41","50501","0.0-5.0-2.18","","","","","","","","","","207","750","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":202},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":401},{""stimulus"":""img/3to1/5.png"",""time"":509},{""stimulus"":""img/3to1/6.png"",""time"":604},{""stimulus"":""img/3to1/7.png"",""time"":714},{""stimulus"":""img/3to1/8.png"",""time"":807},{""stimulus"":""img/3to1/9.png"",""time"":915},{""stimulus"":""img/3to1/10.png"",""time"":1007},{""stimulus"":""img/3to1/11.png"",""time"":1116},{""stimulus"":""img/3to1/12.png"",""time"":1209}]","[]",""
"image-keyboard-response","42","51263","0.0-5.0-1.19","","null","","","","","","img/1to3/1.png","null","206","750","0.6","0.6","1","2","","",""
"animation","43","52567","0.0-5.0-2.19","","","","","","","","","","206","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":218},{""stimulus"":""img/1to2/3.png"",""time"":303},{""stimulus"":""img/1to2/4.png"",""time"":407},{""stimulus"":""img/1to2/5.png"",""time"":513},{""stimulus"":""img/1to2/6.png"",""time"":622},{""stimulus"":""img/1to2/7.png"",""time"":703},{""stimulus"":""img/1to2/8.png"",""time"":807},{""stimulus"":""img/1to2/9.png"",""time"":915},{""stimulus"":""img/1to2/10.png"",""time"":1009},{""stimulus"":""img/1to2/11.png"",""time"":1102},{""stimulus"":""img/1to2/12.png"",""time"":1210}]","[]",""
"image-keyboard-response","44","52808","0.0-5.0-1.20","","241","","","","","","img/2to1/1.png","2","205","750","0.6","0.6","2","3","","",""
"animation","45","54111","0.0-5.0-2.20","","","","","","","","","","205","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":116},{""stimulus"":""img/2to3/2.png"",""time"":209},{""stimulus"":""img/2to3/3.png"",""time"":316},{""stimulus"":""img/2to3/4.png"",""time"":405},{""stimulus"":""img/2to3/5.png"",""time"":502},{""stimulus"":""img/2to3/6.png"",""time"":605},{""stimulus"":""img/2to3/7.png"",""time"":702},{""stimulus"":""img/2to3/8.png"",""time"":810},{""stimulus"":""img/2to3/9.png"",""time"":903},{""stimulus"":""img/2to3/10.png"",""time"":1013},{""stimulus"":""img/2to3/11.png"",""time"":1109},{""stimulus"":""img/2to3/12.png"",""time"":1206}]","[]",""
"image-keyboard-response","46","54879","0.0-5.0-1.21","","null","","","","","","img/3to2/1.png","null","204","750","0.6","0.6","3","2","","",""
"animation","47","56184","0.0-5.0-2.21","","","","","","","","","","204","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":111},{""stimulus"":""img/3to2/2.png"",""time"":206},{""stimulus"":""img/3to2/3.png"",""time"":301},{""stimulus"":""img/3to2/4.png"",""time"":420},{""stimulus"":""img/3to2/5.png"",""time"":502},{""stimulus"":""img/3to2/6.png"",""time"":610},{""stimulus"":""img/3to2/7.png"",""time"":702},{""stimulus"":""img/3to2/8.png"",""time"":806},{""stimulus"":""img/3to2/9.png"",""time"":916},{""stimulus"":""img/3to2/10.png"",""time"":1006},{""stimulus"":""img/3to2/11.png"",""time"":1115},{""stimulus"":""img/3to2/12.png"",""time"":1206}]","[]",""
"image-keyboard-response","48","56505","0.0-5.0-1.22","","321","","","","","","img/2to1/1.png","1","203","750","0.6","0.6","2","1","","",""
"animation","49","57813","0.0-5.0-2.22","","","","","","","","","","203","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":113},{""stimulus"":""img/2to1/2.png"",""time"":206},{""stimulus"":""img/2to1/3.png"",""time"":316},{""stimulus"":""img/2to1/4.png"",""time"":410},{""stimulus"":""img/2to1/5.png"",""time"":504},{""stimulus"":""img/2to1/6.png"",""time"":606},{""stimulus"":""img/2to1/7.png"",""time"":710},{""stimulus"":""img/2to1/8.png"",""time"":805},{""stimulus"":""img/2to1/9.png"",""time"":909},{""stimulus"":""img/2to1/10.png"",""time"":1017},{""stimulus"":""img/2to1/11.png"",""time"":1109},{""stimulus"":""img/2to1/12.png"",""time"":1206}]","[]",""
"image-keyboard-response","50","58569","0.0-5.0-1.23","","null","","","","","","img/1to3/1.png","null","202","750","0.6","0.6","1","2","","",""
"animation","51","59878","0.0-5.0-2.23","","","","","","","","","","202","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":202},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":404},{""stimulus"":""img/1to2/5.png"",""time"":508},{""stimulus"":""img/1to2/6.png"",""time"":606},{""stimulus"":""img/1to2/7.png"",""time"":715},{""stimulus"":""img/1to2/8.png"",""time"":804},{""stimulus"":""img/1to2/9.png"",""time"":917},{""stimulus"":""img/1to2/10.png"",""time"":1004},{""stimulus"":""img/1to2/11.png"",""time"":1109},{""stimulus"":""img/1to2/12.png"",""time"":1204}]","[]",""
"image-keyboard-response","52","60027","0.0-5.0-1.24","","149","","","","","","img/2to1/1.png","2","201","750","0.6","0.6","2","3","","",""
"animation","53","61334","0.0-5.0-2.24","","","","","","","","","","201","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":110},{""stimulus"":""img/2to3/2.png"",""time"":203},{""stimulus"":""img/2to3/3.png"",""time"":311},{""stimulus"":""img/2to3/4.png"",""time"":404},{""stimulus"":""img/2to3/5.png"",""time"":508},{""stimulus"":""img/2to3/6.png"",""time"":607},{""stimulus"":""img/2to3/7.png"",""time"":713},{""stimulus"":""img/2to3/8.png"",""time"":803},{""stimulus"":""img/2to3/9.png"",""time"":917},{""stimulus"":""img/2to3/10.png"",""time"":1010},{""stimulus"":""img/2to3/11.png"",""time"":1118},{""stimulus"":""img/2to3/12.png"",""time"":1213}]","[]",""
"image-keyboard-response","54","62106","0.0-5.0-1.25","","null","","","","","","img/3to2/1.png","null","200","750","0.6","0.6","3","1","","",""
"animation","55","63414","0.0-5.0-2.25","","","","","","","","","","200","750","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":217},{""stimulus"":""img/3to1/3.png"",""time"":308},{""stimulus"":""img/3to1/4.png"",""time"":404},{""stimulus"":""img/3to1/5.png"",""time"":513},{""stimulus"":""img/3to1/6.png"",""time"":604},{""stimulus"":""img/3to1/7.png"",""time"":707},{""stimulus"":""img/3to1/8.png"",""time"":808},{""stimulus"":""img/3to1/9.png"",""time"":919},{""stimulus"":""img/3to1/10.png"",""time"":1014},{""stimulus"":""img/3to1/11.png"",""time"":1123},{""stimulus"":""img/3to1/12.png"",""time"":1217}]","[]",""
"image-keyboard-response","56","64167","0.0-5.0-1.26","","null","","","","","","img/1to3/1.png","null","199","750","0.6","0.6","1","3","","",""
"animation","57","65470","0.0-5.0-2.26","","","","","","","","","","199","750","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":109},{""stimulus"":""img/1to3/2.png"",""time"":206},{""stimulus"":""img/1to3/3.png"",""time"":303},{""stimulus"":""img/1to3/4.png"",""time"":407},{""stimulus"":""img/1to3/5.png"",""time"":511},{""stimulus"":""img/1to3/6.png"",""time"":608},{""stimulus"":""img/1to3/7.png"",""time"":715},{""stimulus"":""img/1to3/8.png"",""time"":809},{""stimulus"":""img/1to3/9.png"",""time"":904},{""stimulus"":""img/1to3/10.png"",""time"":1006},{""stimulus"":""img/1to3/11.png"",""time"":1103},{""stimulus"":""img/1to3/12.png"",""time"":1214}]","[]",""
"image-keyboard-response","58","66230","0.0-5.0-1.27","","null","","","","","","img/3to2/1.png","null","198","750","0.6","0.6","3","2","","",""
"animation","59","67547","0.0-5.0-2.27","","","","","","","","","","198","750","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":208},{""stimulus"":""img/3to2/3.png"",""time"":311},{""stimulus"":""img/3to2/4.png"",""time"":400},{""stimulus"":""img/3to2/5.png"",""time"":505},{""stimulus"":""img/3to2/6.png"",""time"":620},{""stimulus"":""img/3to2/7.png"",""time"":711},{""stimulus"":""img/3to2/8.png"",""time"":806},{""stimulus"":""img/3to2/9.png"",""time"":904},{""stimulus"":""img/3to2/10.png"",""time"":1022},{""stimulus"":""img/3to2/11.png"",""time"":1103},{""stimulus"":""img/3to2/12.png"",""time"":1222}]","[]",""
"image-keyboard-response","60","68486","0.0-5.0-1.28","","938","","","","","","img/2to1/1.png","1","197","750","0.6","0.6","2","1","","",""
"animation","61","69790","0.0-5.0-2.28","","","","","","","","","","197","750","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":107},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":307},{""stimulus"":""img/2to1/4.png"",""time"":408},{""stimulus"":""img/2to1/5.png"",""time"":510},{""stimulus"":""img/2to1/6.png"",""time"":619},{""stimulus"":""img/2to1/7.png"",""time"":704},{""stimulus"":""img/2to1/8.png"",""time"":808},{""stimulus"":""img/2to1/9.png"",""time"":903},{""stimulus"":""img/2to1/10.png"",""time"":1008},{""stimulus"":""img/2to1/11.png"",""time"":1118},{""stimulus"":""img/2to1/12.png"",""time"":1209}]","[]",""
"image-keyboard-response","62","70550","0.0-5.0-1.29","","null","","","","","","img/1to3/1.png","null","196","750","0.6","0.6","1","2","","",""
"animation","63","71853","0.0-5.0-2.29","","","","","","","","","","196","750","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":208},{""stimulus"":""img/1to2/3.png"",""time"":315},{""stimulus"":""img/1to2/4.png"",""time"":408},{""stimulus"":""img/1to2/5.png"",""time"":504},{""stimulus"":""img/1to2/6.png"",""time"":609},{""stimulus"":""img/1to2/7.png"",""time"":718},{""stimulus"":""img/1to2/8.png"",""time"":812},{""stimulus"":""img/1to2/9.png"",""time"":904},{""stimulus"":""img/1to2/10.png"",""time"":1012},{""stimulus"":""img/1to2/11.png"",""time"":1106},{""stimulus"":""img/1to2/12.png"",""time"":1213}]","[]",""
"image-keyboard-response","64","72347","0.0-5.0-1.30","","494","","","","","","img/2to1/1.png","2","195","750","0.6","0.6","2","3","","",""
"animation","65","73654","0.0-5.0-2.30","","","","","","","","","","195","750","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":114},{""stimulus"":""img/2to3/2.png"",""time"":206},{""stimulus"":""img/2to3/3.png"",""time"":307},{""stimulus"":""img/2to3/4.png"",""time"":403},{""stimulus"":""img/2to3/5.png"",""time"":507},{""stimulus"":""img/2to3/6.png"",""time"":609},{""stimulus"":""img/2to3/7.png"",""time"":708},{""stimulus"":""img/2to3/8.png"",""time"":811},{""stimulus"":""img/2to3/9.png"",""time"":920},{""stimulus"":""img/2to3/10.png"",""time"":1003},{""stimulus"":""img/2to3/11.png"",""time"":1108},{""stimulus"":""img/2to3/12.png"",""time"":1215}]","[]",""
"image-keyboard-response","66","74414","0.0-5.0-1.31","","null","","","","","","img/3to2/1.png","null","194","750","0.6","0.6","3","2","","",""
