"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","372","638883","0.0-5.0-2.183","","","","","","42","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":107},{""stimulus"":""img/3to1/2.png"",""time"":216},{""stimulus"":""img/3to1/3.png"",""time"":323},{""stimulus"":""img/3to1/4.png"",""time"":432},{""stimulus"":""img/3to1/5.png"",""time"":540},{""stimulus"":""img/3to1/6.png"",""time"":648},{""stimulus"":""img/3to1/7.png"",""time"":754},{""stimulus"":""img/3to1/8.png"",""time"":863},{""stimulus"":""img/3to1/9.png"",""time"":970},{""stimulus"":""img/3to1/10.png"",""time"":1077},{""stimulus"":""img/3to1/11.png"",""time"":1184},{""stimulus"":""img/3to1/12.png"",""time"":1292}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","373","639573","0.0-5.0-1.184","","null","","img/1to3/1.png","null","41","680","0.5","0.5","1","2","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","374","640972","0.0-5.0-2.184","","","","","","41","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":216},{""stimulus"":""img/1to2/3.png"",""time"":324},{""stimulus"":""img/1to2/4.png"",""time"":431},{""stimulus"":""img/1to2/5.png"",""time"":540},{""stimulus"":""img/1to2/6.png"",""time"":647},{""stimulus"":""img/1to2/7.png"",""time"":755},{""stimulus"":""img/1to2/8.png"",""time"":863},{""stimulus"":""img/1to2/9.png"",""time"":970},{""stimulus"":""img/1to2/10.png"",""time"":1077},{""stimulus"":""img/1to2/11.png"",""time"":1184},{""stimulus"":""img/1to2/12.png"",""time"":1292}]","[]"
"","","","choice","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","375","641231","0.0-5.0-1.185","","259","","img/2to1/1.png","1","40","363","0.5","0.5","2","1","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","376","642632","0.0-5.0-2.185","","","","","","40","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":110},{""stimulus"":""img/2to1/2.png"",""time"":217},{""stimulus"":""img/2to1/3.png"",""time"":326},{""stimulus"":""img/2to1/4.png"",""time"":433},{""stimulus"":""img/2to1/5.png"",""time"":540},{""stimulus"":""img/2to1/6.png"",""time"":648},{""stimulus"":""img/2to1/7.png"",""time"":755},{""stimulus"":""img/2to1/8.png"",""time"":863},{""stimulus"":""img/2to1/9.png"",""time"":970},{""stimulus"":""img/2to1/10.png"",""time"":1079},{""stimulus"":""img/2to1/11.png"",""time"":1188},{""stimulus"":""img/2to1/12.png"",""time"":1294}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","377","643876","0.0-5.0-1.186","","null","","img/1to3/1.png","null","39","1232","0.5","0.5","1","3","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","378","645274","0.0-5.0-2.186","","","","","","39","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":214},{""stimulus"":""img/1to3/3.png"",""time"":321},{""stimulus"":""img/1to3/4.png"",""time"":429},{""stimulus"":""img/1to3/5.png"",""time"":536},{""stimulus"":""img/1to3/6.png"",""time"":645},{""stimulus"":""img/1to3/7.png"",""time"":753},{""stimulus"":""img/1to3/8.png"",""time"":860},{""stimulus"":""img/1to3/9.png"",""time"":968},{""stimulus"":""img/1to3/10.png"",""time"":1075},{""stimulus"":""img/1to3/11.png"",""time"":1182},{""stimulus"":""img/1to3/12.png"",""time"":1290}]","[]"
"","","","observe","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","379","645564","0.0-5.0-1.187","","null","","img/3to2/1.png","null","38","281","0.5","0.5","3","2","",""
"","","","","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","animation","380","646966","0.0-5.0-2.187","","","","","","38","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":108},{""stimulus"":""img/3to2/2.png"",""time"":215},{""stimulus"":""img/3to2/3.png"",""time"":322},{""stimulus"":""img/3to2/4.png"",""time"":430},{""stimulus"":""img/3to2/5.png"",""time"":537},{""stimulus"":""img/3to2/6.png"",""time"":645},{""stimulus"":""img/3to2/7.png"",""time"":753},{""stimulus"":""img/3to2/8.png"",""time"":861},{""stimulus"":""img/3to2/9.png"",""time"":969},{""stimulus"":""img/3to2/10.png"",""time"":1078},{""stimulus"":""img/3to2/11.png"",""time"":1186},{""stimulus"":""img/3to2/12.png"",""time"":1294}]","[]"
"","","","choice","6156a0460b95fa57be8312c4","bdp_cybrbll","Wed Mar 29 2023 00:55:29 GMT-0700 (Pacific Daylight Time)","788495","1","3","image-keyboard-response","381","654049","0.0-5.0-1.188","","7083","","img/2to1/1.png","2","37","284","0.5","0.5","2","3","",""
