"event","trial","time","trialtype","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","trial_type","trial_index","time_elapsed","internal_node_id","view_history","rt","numBlurs","success","stimulus","key_press","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","19","340770","0.0-5.0-2.6","","","","","","","219","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":104},{""stimulus"":""img/1to3/2.png"",""time"":205},{""stimulus"":""img/1to3/3.png"",""time"":306},{""stimulus"":""img/1to3/4.png"",""time"":410},{""stimulus"":""img/1to3/5.png"",""time"":511},{""stimulus"":""img/1to3/6.png"",""time"":613},{""stimulus"":""img/1to3/7.png"",""time"":714},{""stimulus"":""img/1to3/8.png"",""time"":817},{""stimulus"":""img/1to3/9.png"",""time"":919},{""stimulus"":""img/1to3/10.png"",""time"":1020},{""stimulus"":""img/1to3/11.png"",""time"":1123},{""stimulus"":""img/1to3/12.png"",""time"":1226}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","20","341200","0.0-5.0-1.7","","null","","","img/3to2/1.png","null","218","424","0.5","0.5","3","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","21","342543","0.0-5.0-2.7","","","","","","","218","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":104},{""stimulus"":""img/3to2/2.png"",""time"":207},{""stimulus"":""img/3to2/3.png"",""time"":309},{""stimulus"":""img/3to2/4.png"",""time"":411},{""stimulus"":""img/3to2/5.png"",""time"":516},{""stimulus"":""img/3to2/6.png"",""time"":619},{""stimulus"":""img/3to2/7.png"",""time"":723},{""stimulus"":""img/3to2/8.png"",""time"":827},{""stimulus"":""img/3to2/9.png"",""time"":927},{""stimulus"":""img/3to2/10.png"",""time"":1031},{""stimulus"":""img/3to2/11.png"",""time"":1136},{""stimulus"":""img/3to2/12.png"",""time"":1240}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","22","343248","0.0-5.0-1.8","","704","","","img/2to1/1.png","1","217","257","0.5","0.5","2","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","23","344572","0.0-5.0-2.8","","","","","","","217","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":210},{""stimulus"":""img/2to1/3.png"",""time"":308},{""stimulus"":""img/2to1/4.png"",""time"":409},{""stimulus"":""img/2to1/5.png"",""time"":511},{""stimulus"":""img/2to1/6.png"",""time"":615},{""stimulus"":""img/2to1/7.png"",""time"":718},{""stimulus"":""img/2to1/8.png"",""time"":817},{""stimulus"":""img/2to1/9.png"",""time"":920},{""stimulus"":""img/2to1/10.png"",""time"":1022},{""stimulus"":""img/2to1/11.png"",""time"":1122},{""stimulus"":""img/2to1/12.png"",""time"":1224}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","24","345124","0.0-5.0-1.9","","null","","","img/1to3/1.png","null","216","549","0.5","0.5","1","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","25","346465","0.0-5.0-2.9","","","","","","","216","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":104},{""stimulus"":""img/1to3/2.png"",""time"":207},{""stimulus"":""img/1to3/3.png"",""time"":312},{""stimulus"":""img/1to3/4.png"",""time"":413},{""stimulus"":""img/1to3/5.png"",""time"":516},{""stimulus"":""img/1to3/6.png"",""time"":617},{""stimulus"":""img/1to3/7.png"",""time"":720},{""stimulus"":""img/1to3/8.png"",""time"":825},{""stimulus"":""img/1to3/9.png"",""time"":928},{""stimulus"":""img/1to3/10.png"",""time"":1028},{""stimulus"":""img/1to3/11.png"",""time"":1132},{""stimulus"":""img/1to3/12.png"",""time"":1236}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","26","346944","0.0-5.0-1.10","","null","","","img/3to2/1.png","null","215","471","0.5","0.5","3","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","27","348280","0.0-5.0-2.10","","","","","","","215","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":101},{""stimulus"":""img/3to2/2.png"",""time"":204},{""stimulus"":""img/3to2/3.png"",""time"":309},{""stimulus"":""img/3to2/4.png"",""time"":411},{""stimulus"":""img/3to2/5.png"",""time"":514},{""stimulus"":""img/3to2/6.png"",""time"":615},{""stimulus"":""img/3to2/7.png"",""time"":719},{""stimulus"":""img/3to2/8.png"",""time"":823},{""stimulus"":""img/3to2/9.png"",""time"":925},{""stimulus"":""img/3to2/10.png"",""time"":1026},{""stimulus"":""img/3to2/11.png"",""time"":1130},{""stimulus"":""img/3to2/12.png"",""time"":1233}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","28","380160","0.0-5.0-1.11","","31878","","","img/2to1/1.png","2","214","1199","0.5","0.5","2","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","29","381492","0.0-5.0-2.11","","","","","","","214","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":106},{""stimulus"":""img/2to3/2.png"",""time"":207},{""stimulus"":""img/2to3/3.png"",""time"":309},{""stimulus"":""img/2to3/4.png"",""time"":411},{""stimulus"":""img/2to3/5.png"",""time"":513},{""stimulus"":""img/2to3/6.png"",""time"":617},{""stimulus"":""img/2to3/7.png"",""time"":720},{""stimulus"":""img/2to3/8.png"",""time"":819},{""stimulus"":""img/2to3/9.png"",""time"":922},{""stimulus"":""img/2to3/10.png"",""time"":1023},{""stimulus"":""img/2to3/11.png"",""time"":1123},{""stimulus"":""img/2to3/12.png"",""time"":1225}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","30","382703","0.0-5.0-1.12","","null","","","img/3to2/1.png","null","213","1203","0.5","0.5","3","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","31","384040","0.0-5.0-2.12","","","","","","","213","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":105},{""stimulus"":""img/3to1/2.png"",""time"":208},{""stimulus"":""img/3to1/3.png"",""time"":313},{""stimulus"":""img/3to1/4.png"",""time"":415},{""stimulus"":""img/3to1/5.png"",""time"":519},{""stimulus"":""img/3to1/6.png"",""time"":619},{""stimulus"":""img/3to1/7.png"",""time"":724},{""stimulus"":""img/3to1/8.png"",""time"":825},{""stimulus"":""img/3to1/9.png"",""time"":929},{""stimulus"":""img/3to1/10.png"",""time"":1031},{""stimulus"":""img/3to1/11.png"",""time"":1136},{""stimulus"":""img/3to1/12.png"",""time"":1236}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","32","384399","0.0-5.0-1.13","","null","","","img/1to3/1.png","null","212","354","0.5","0.5","1","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","33","385731","0.0-5.0-2.13","","","","","","","212","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":104},{""stimulus"":""img/1to2/2.png"",""time"":204},{""stimulus"":""img/1to2/3.png"",""time"":307},{""stimulus"":""img/1to2/4.png"",""time"":409},{""stimulus"":""img/1to2/5.png"",""time"":511},{""stimulus"":""img/1to2/6.png"",""time"":615},{""stimulus"":""img/1to2/7.png"",""time"":718},{""stimulus"":""img/1to2/8.png"",""time"":818},{""stimulus"":""img/1to2/9.png"",""time"":924},{""stimulus"":""img/1to2/10.png"",""time"":1026},{""stimulus"":""img/1to2/11.png"",""time"":1127},{""stimulus"":""img/1to2/12.png"",""time"":1228}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","34","385811","0.0-5.0-1.14","","76","","","img/2to1/1.png","1","211","247","0.5","0.5","2","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","35","387144","0.0-5.0-2.14","","","","","","","211","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":208},{""stimulus"":""img/2to1/3.png"",""time"":312},{""stimulus"":""img/2to1/4.png"",""time"":416},{""stimulus"":""img/2to1/5.png"",""time"":519},{""stimulus"":""img/2to1/6.png"",""time"":623},{""stimulus"":""img/2to1/7.png"",""time"":725},{""stimulus"":""img/2to1/8.png"",""time"":826},{""stimulus"":""img/2to1/9.png"",""time"":927},{""stimulus"":""img/2to1/10.png"",""time"":1028},{""stimulus"":""img/2to1/11.png"",""time"":1129},{""stimulus"":""img/2to1/12.png"",""time"":1230}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","36","387563","0.0-5.0-1.15","","null","","","img/1to3/1.png","null","210","414","0.5","0.5","1","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","37","388887","0.0-5.0-2.15","","","","","","","210","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":105},{""stimulus"":""img/1to3/2.png"",""time"":207},{""stimulus"":""img/1to3/3.png"",""time"":306},{""stimulus"":""img/1to3/4.png"",""time"":408},{""stimulus"":""img/1to3/5.png"",""time"":507},{""stimulus"":""img/1to3/6.png"",""time"":611},{""stimulus"":""img/1to3/7.png"",""time"":712},{""stimulus"":""img/1to3/8.png"",""time"":816},{""stimulus"":""img/1to3/9.png"",""time"":919},{""stimulus"":""img/1to3/10.png"",""time"":1019},{""stimulus"":""img/1to3/11.png"",""time"":1120},{""stimulus"":""img/1to3/12.png"",""time"":1221}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","38","389834","0.0-5.0-1.16","","null","","","img/3to2/1.png","null","209","940","0.5","0.5","3","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","39","391172","0.0-5.0-2.16","","","","","","","209","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":103},{""stimulus"":""img/3to2/2.png"",""time"":204},{""stimulus"":""img/3to2/3.png"",""time"":304},{""stimulus"":""img/3to2/4.png"",""time"":408},{""stimulus"":""img/3to2/5.png"",""time"":513},{""stimulus"":""img/3to2/6.png"",""time"":614},{""stimulus"":""img/3to2/7.png"",""time"":717},{""stimulus"":""img/3to2/8.png"",""time"":822},{""stimulus"":""img/3to2/9.png"",""time"":925},{""stimulus"":""img/3to2/10.png"",""time"":1027},{""stimulus"":""img/3to2/11.png"",""time"":1132},{""stimulus"":""img/3to2/12.png"",""time"":1236}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","40","391785","0.0-5.0-1.17","","610","","","img/2to1/1.png","1","208","130","0.5","0.5","2","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","41","393122","0.0-5.0-2.17","","","","","","","208","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":105},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":310},{""stimulus"":""img/2to1/4.png"",""time"":410},{""stimulus"":""img/2to1/5.png"",""time"":512},{""stimulus"":""img/2to1/6.png"",""time"":617},{""stimulus"":""img/2to1/7.png"",""time"":720},{""stimulus"":""img/2to1/8.png"",""time"":822},{""stimulus"":""img/2to1/9.png"",""time"":923},{""stimulus"":""img/2to1/10.png"",""time"":1027},{""stimulus"":""img/2to1/11.png"",""time"":1129},{""stimulus"":""img/2to1/12.png"",""time"":1234}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","42","393480","0.0-5.0-1.18","","null","","","img/1to3/1.png","null","207","351","0.5","0.5","1","3","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","43","394809","0.0-5.0-2.18","","","","","","","207","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":102},{""stimulus"":""img/1to3/2.png"",""time"":204},{""stimulus"":""img/1to3/3.png"",""time"":304},{""stimulus"":""img/1to3/4.png"",""time"":407},{""stimulus"":""img/1to3/5.png"",""time"":507},{""stimulus"":""img/1to3/6.png"",""time"":609},{""stimulus"":""img/1to3/7.png"",""time"":713},{""stimulus"":""img/1to3/8.png"",""time"":815},{""stimulus"":""img/1to3/9.png"",""time"":919},{""stimulus"":""img/1to3/10.png"",""time"":1022},{""stimulus"":""img/1to3/11.png"",""time"":1126},{""stimulus"":""img/1to3/12.png"",""time"":1224}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","44","395445","0.0-5.0-1.19","","null","","","img/3to2/1.png","null","206","630","0.5","0.5","3","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","45","396769","0.0-5.0-2.19","","","","","","","206","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":101},{""stimulus"":""img/3to2/2.png"",""time"":204},{""stimulus"":""img/3to2/3.png"",""time"":305},{""stimulus"":""img/3to2/4.png"",""time"":408},{""stimulus"":""img/3to2/5.png"",""time"":507},{""stimulus"":""img/3to2/6.png"",""time"":608},{""stimulus"":""img/3to2/7.png"",""time"":708},{""stimulus"":""img/3to2/8.png"",""time"":809},{""stimulus"":""img/3to2/9.png"",""time"":911},{""stimulus"":""img/3to2/10.png"",""time"":1016},{""stimulus"":""img/3to2/11.png"",""time"":1117},{""stimulus"":""img/3to2/12.png"",""time"":1221}]","[]"
"","","","choice","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","46","397638","0.0-5.0-1.20","","867","","","img/2to1/1.png","1","205","391","0.5","0.5","2","1","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","47","398975","0.0-5.0-2.20","","","","","","","205","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":209},{""stimulus"":""img/2to1/3.png"",""time"":312},{""stimulus"":""img/2to1/4.png"",""time"":415},{""stimulus"":""img/2to1/5.png"",""time"":514},{""stimulus"":""img/2to1/6.png"",""time"":617},{""stimulus"":""img/2to1/7.png"",""time"":717},{""stimulus"":""img/2to1/8.png"",""time"":818},{""stimulus"":""img/2to1/9.png"",""time"":922},{""stimulus"":""img/2to1/10.png"",""time"":1026},{""stimulus"":""img/2to1/11.png"",""time"":1131},{""stimulus"":""img/2to1/12.png"",""time"":1235}]","[]"
"","","","observe","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","image-keyboard-response","48","399223","0.0-5.0-1.21","","null","","","img/1to3/1.png","null","204","245","0.5","0.5","1","2","",""
"","","","","5e654e2055e480000dcd002a","bdp_cybrbll","Mon Mar 27 2023 15:26:25 GMT-0400 (Eastern Daylight Time)","968593","3","1","animation","49","400557","0.0-5.0-2.21","","","","","","","204","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":101},{""stimulus"":""img/1to2/2.png"",""time"":203},{""stimulus"":""img/1to2/3.png"",""time"":307},{""stimulus"":""img/1to2/4.png"",""time"":409},{""stimulus"":""img/1to2/5.png"",""time"":513},{""stimulus"":""img/1to2/6.png"",""time"":616},{""stimulus"":""img/1to2/7.png"",""time"":718},{""stimulus"":""img/1to2/8.png"",""time"":821},{""stimulus"":""img/1to2/9.png"",""time"":925},{""stimulus"":""img/1to2/10.png"",""time"":1028},{""stimulus"":""img/1to2/11.png"",""time"":1131},{""stimulus"":""img/1to2/12.png"",""time"":1234}]","[]"
