"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","task","startTime","totalTime","fairPartner","unfairPartner","view_history","rt","success","stimulus","key_press","trialtype","throwsLeft","rtDur","pFair","pUnfair","holder","receiver","animation_sequence","responses"
"image-keyboard-response","223","231785","0.0-5.0-1.109","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","116","1472","0.5","0.1","1","2","",""
"animation","224","233075","0.0-5.0-2.109","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","116","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":108},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":312},{""stimulus"":""img/1to2/4.png"",""time"":405},{""stimulus"":""img/1to2/5.png"",""time"":498},{""stimulus"":""img/1to2/6.png"",""time"":610},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":903},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1104},{""stimulus"":""img/1to2/12.png"",""time"":1188}]","[]"
"image-keyboard-response","225","233410","0.0-5.0-1.110","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","334","","img/2to1/1.png","1","choice","115","356","0.5","0.1","2","1","",""
"animation","226","234711","0.0-5.0-2.110","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","115","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":211},{""stimulus"":""img/2to1/3.png"",""time"":304},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":601},{""stimulus"":""img/2to1/7.png"",""time"":693},{""stimulus"":""img/2to1/8.png"",""time"":805},{""stimulus"":""img/2to1/9.png"",""time"":897},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1099},{""stimulus"":""img/2to1/12.png"",""time"":1192}]","[]"
"image-keyboard-response","227","235153","0.0-5.0-1.111","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","114","434","0.5","0.1","1","3","",""
"animation","228","236442","0.0-5.0-2.111","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","114","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":107},{""stimulus"":""img/1to3/2.png"",""time"":201},{""stimulus"":""img/1to3/3.png"",""time"":311},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":496},{""stimulus"":""img/1to3/6.png"",""time"":606},{""stimulus"":""img/1to3/7.png"",""time"":693},{""stimulus"":""img/1to3/8.png"",""time"":808},{""stimulus"":""img/1to3/9.png"",""time"":903},{""stimulus"":""img/1to3/10.png"",""time"":990},{""stimulus"":""img/1to3/11.png"",""time"":1091},{""stimulus"":""img/1to3/12.png"",""time"":1199}]","[]"
"image-keyboard-response","229","236883","0.0-5.0-1.112","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","113","431","0.5","0.1","3","1","",""
"animation","230","238173","0.0-5.0-2.112","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","113","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":198},{""stimulus"":""img/3to1/3.png"",""time"":311},{""stimulus"":""img/3to1/4.png"",""time"":405},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":594},{""stimulus"":""img/3to1/7.png"",""time"":704},{""stimulus"":""img/3to1/8.png"",""time"":799},{""stimulus"":""img/3to1/9.png"",""time"":894},{""stimulus"":""img/3to1/10.png"",""time"":1004},{""stimulus"":""img/3to1/11.png"",""time"":1099},{""stimulus"":""img/3to1/12.png"",""time"":1193}]","[]"
"image-keyboard-response","231","238489","0.0-5.0-1.113","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","112","303","0.5","0.1","1","3","",""
"animation","232","239779","0.0-5.0-2.113","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","112","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":111},{""stimulus"":""img/1to3/2.png"",""time"":204},{""stimulus"":""img/1to3/3.png"",""time"":298},{""stimulus"":""img/1to3/4.png"",""time"":396},{""stimulus"":""img/1to3/5.png"",""time"":502},{""stimulus"":""img/1to3/6.png"",""time"":597},{""stimulus"":""img/1to3/7.png"",""time"":708},{""stimulus"":""img/1to3/8.png"",""time"":793},{""stimulus"":""img/1to3/9.png"",""time"":891},{""stimulus"":""img/1to3/10.png"",""time"":992},{""stimulus"":""img/1to3/11.png"",""time"":1103},{""stimulus"":""img/1to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","233","240301","0.0-5.0-1.114","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","111","511","0.5","0.1","3","2","",""
"animation","234","241589","0.0-5.0-2.114","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","111","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":110},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":299},{""stimulus"":""img/3to2/4.png"",""time"":411},{""stimulus"":""img/3to2/5.png"",""time"":497},{""stimulus"":""img/3to2/6.png"",""time"":599},{""stimulus"":""img/3to2/7.png"",""time"":708},{""stimulus"":""img/3to2/8.png"",""time"":802},{""stimulus"":""img/3to2/9.png"",""time"":897},{""stimulus"":""img/3to2/10.png"",""time"":992},{""stimulus"":""img/3to2/11.png"",""time"":1102},{""stimulus"":""img/3to2/12.png"",""time"":1196}]","[]"
"image-keyboard-response","235","242230","0.0-5.0-1.115","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","641","","img/2to1/1.png","1","choice","110","1158","0.5","0.1","2","1","",""
"animation","236","243518","0.0-5.0-2.115","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","110","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":208},{""stimulus"":""img/2to1/3.png"",""time"":300},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":509},{""stimulus"":""img/2to1/6.png"",""time"":608},{""stimulus"":""img/2to1/7.png"",""time"":694},{""stimulus"":""img/2to1/8.png"",""time"":805},{""stimulus"":""img/2to1/9.png"",""time"":898},{""stimulus"":""img/2to1/10.png"",""time"":993},{""stimulus"":""img/2to1/11.png"",""time"":1104},{""stimulus"":""img/2to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","237","244156","0.0-5.0-1.116","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","109","628","0.5","0.1","1","2","",""
"animation","238","245458","0.0-5.0-2.116","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","109","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":205},{""stimulus"":""img/1to2/3.png"",""time"":298},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":601},{""stimulus"":""img/1to2/7.png"",""time"":696},{""stimulus"":""img/1to2/8.png"",""time"":803},{""stimulus"":""img/1to2/9.png"",""time"":897},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1099},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","239","246063","0.0-5.0-1.117","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","605","","img/2to1/1.png","1","choice","108","1818","0.5","0.1","2","1","",""
"animation","240","247351","0.0-5.0-2.117","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","108","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":100},{""stimulus"":""img/2to1/2.png"",""time"":205},{""stimulus"":""img/2to1/3.png"",""time"":299},{""stimulus"":""img/2to1/4.png"",""time"":397},{""stimulus"":""img/2to1/5.png"",""time"":501},{""stimulus"":""img/2to1/6.png"",""time"":595},{""stimulus"":""img/2to1/7.png"",""time"":703},{""stimulus"":""img/2to1/8.png"",""time"":796},{""stimulus"":""img/2to1/9.png"",""time"":906},{""stimulus"":""img/2to1/10.png"",""time"":991},{""stimulus"":""img/2to1/11.png"",""time"":1093},{""stimulus"":""img/2to1/12.png"",""time"":1201}]","[]"
"image-keyboard-response","241","247686","0.0-5.0-1.118","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","107","331","0.5","0.1","1","2","",""
"animation","242","248989","0.0-5.0-2.118","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","107","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":203},{""stimulus"":""img/1to2/3.png"",""time"":312},{""stimulus"":""img/1to2/4.png"",""time"":397},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":608},{""stimulus"":""img/1to2/7.png"",""time"":701},{""stimulus"":""img/1to2/8.png"",""time"":793},{""stimulus"":""img/1to2/9.png"",""time"":901},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1102},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","243","249381","0.0-5.0-1.119","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","385","","img/2to1/1.png","1","choice","106","197","0.5","0.1","2","1","",""
"animation","244","250668","0.0-5.0-2.119","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","106","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":108},{""stimulus"":""img/2to1/2.png"",""time"":200},{""stimulus"":""img/2to1/3.png"",""time"":311},{""stimulus"":""img/2to1/4.png"",""time"":405},{""stimulus"":""img/2to1/5.png"",""time"":499},{""stimulus"":""img/2to1/6.png"",""time"":607},{""stimulus"":""img/2to1/7.png"",""time"":699},{""stimulus"":""img/2to1/8.png"",""time"":793},{""stimulus"":""img/2to1/9.png"",""time"":904},{""stimulus"":""img/2to1/10.png"",""time"":999},{""stimulus"":""img/2to1/11.png"",""time"":1093},{""stimulus"":""img/2to1/12.png"",""time"":1203}]","[]"
"image-keyboard-response","245","251035","0.0-5.0-1.120","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","105","354","0.5","0.1","1","2","",""
"animation","246","252327","0.0-5.0-2.120","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","105","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":111},{""stimulus"":""img/1to2/2.png"",""time"":206},{""stimulus"":""img/1to2/3.png"",""time"":299},{""stimulus"":""img/1to2/4.png"",""time"":398},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":595},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":797},{""stimulus"":""img/1to2/9.png"",""time"":907},{""stimulus"":""img/1to2/10.png"",""time"":1000},{""stimulus"":""img/1to2/11.png"",""time"":1092},{""stimulus"":""img/1to2/12.png"",""time"":1200}]","[]"
"image-keyboard-response","247","252936","0.0-5.0-1.121","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","608","","img/2to1/1.png","1","choice","104","662","0.5","0.1","2","1","",""
"animation","248","254238","0.0-5.0-2.121","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","104","","","","2","1","[{""stimulus"":""img/2to1/1.png"",""time"":106},{""stimulus"":""img/2to1/2.png"",""time"":199},{""stimulus"":""img/2to1/3.png"",""time"":307},{""stimulus"":""img/2to1/4.png"",""time"":401},{""stimulus"":""img/2to1/5.png"",""time"":496},{""stimulus"":""img/2to1/6.png"",""time"":603},{""stimulus"":""img/2to1/7.png"",""time"":695},{""stimulus"":""img/2to1/8.png"",""time"":806},{""stimulus"":""img/2to1/9.png"",""time"":898},{""stimulus"":""img/2to1/10.png"",""time"":992},{""stimulus"":""img/2to1/11.png"",""time"":1100},{""stimulus"":""img/2to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","249","254471","0.0-5.0-1.122","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","103","224","0.5","0.1","1","2","",""
"animation","250","255759","0.0-5.0-2.122","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","103","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":198},{""stimulus"":""img/1to2/3.png"",""time"":310},{""stimulus"":""img/1to2/4.png"",""time"":396},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":603},{""stimulus"":""img/1to2/7.png"",""time"":696},{""stimulus"":""img/1to2/8.png"",""time"":808},{""stimulus"":""img/1to2/9.png"",""time"":902},{""stimulus"":""img/1to2/10.png"",""time"":990},{""stimulus"":""img/1to2/11.png"",""time"":1101},{""stimulus"":""img/1to2/12.png"",""time"":1196}]","[]"
"image-keyboard-response","251","256030","0.0-5.0-1.123","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","270","","img/2to1/1.png","2","choice","102","225","0.5","0.1","2","3","",""
"animation","252","257319","0.0-5.0-2.123","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","102","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":198},{""stimulus"":""img/2to3/3.png"",""time"":306},{""stimulus"":""img/2to3/4.png"",""time"":397},{""stimulus"":""img/2to3/5.png"",""time"":496},{""stimulus"":""img/2to3/6.png"",""time"":601},{""stimulus"":""img/2to3/7.png"",""time"":693},{""stimulus"":""img/2to3/8.png"",""time"":802},{""stimulus"":""img/2to3/9.png"",""time"":896},{""stimulus"":""img/2to3/10.png"",""time"":1005},{""stimulus"":""img/2to3/11.png"",""time"":1100},{""stimulus"":""img/2to3/12.png"",""time"":1193}]","[]"
"image-keyboard-response","253","257597","0.0-5.0-1.124","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","101","274","0.5","0.1","3","1","",""
"animation","254","258889","0.0-5.0-2.124","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","101","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":108},{""stimulus"":""img/3to1/2.png"",""time"":201},{""stimulus"":""img/3to1/3.png"",""time"":309},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":511},{""stimulus"":""img/3to1/6.png"",""time"":605},{""stimulus"":""img/3to1/7.png"",""time"":695},{""stimulus"":""img/3to1/8.png"",""time"":811},{""stimulus"":""img/3to1/9.png"",""time"":902},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1105},{""stimulus"":""img/3to1/12.png"",""time"":1199}]","[]"
"image-keyboard-response","255","259985","0.0-5.0-1.125","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","100","1092","0.5","0.1","1","2","",""
"animation","256","261279","0.0-5.0-2.125","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","100","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":110},{""stimulus"":""img/1to2/2.png"",""time"":199},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":404},{""stimulus"":""img/1to2/5.png"",""time"":497},{""stimulus"":""img/1to2/6.png"",""time"":606},{""stimulus"":""img/1to2/7.png"",""time"":700},{""stimulus"":""img/1to2/8.png"",""time"":794},{""stimulus"":""img/1to2/9.png"",""time"":902},{""stimulus"":""img/1to2/10.png"",""time"":997},{""stimulus"":""img/1to2/11.png"",""time"":1090},{""stimulus"":""img/1to2/12.png"",""time"":1201}]","[]"
"image-keyboard-response","257","261372","0.0-5.0-1.126","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","92","","img/2to1/1.png","2","choice","99","921","0.5","0.1","2","3","",""
"animation","258","262661","0.0-5.0-2.126","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","99","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":100},{""stimulus"":""img/2to3/2.png"",""time"":201},{""stimulus"":""img/2to3/3.png"",""time"":311},{""stimulus"":""img/2to3/4.png"",""time"":403},{""stimulus"":""img/2to3/5.png"",""time"":497},{""stimulus"":""img/2to3/6.png"",""time"":607},{""stimulus"":""img/2to3/7.png"",""time"":694},{""stimulus"":""img/2to3/8.png"",""time"":808},{""stimulus"":""img/2to3/9.png"",""time"":893},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1105},{""stimulus"":""img/2to3/12.png"",""time"":1189}]","[]"
"image-keyboard-response","259","263290","0.0-5.0-1.127","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","98","618","0.5","0.1","3","1","",""
"animation","260","264581","0.0-5.0-2.127","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","98","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":113},{""stimulus"":""img/3to1/2.png"",""time"":200},{""stimulus"":""img/3to1/3.png"",""time"":313},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":499},{""stimulus"":""img/3to1/6.png"",""time"":608},{""stimulus"":""img/3to1/7.png"",""time"":694},{""stimulus"":""img/3to1/8.png"",""time"":794},{""stimulus"":""img/3to1/9.png"",""time"":904},{""stimulus"":""img/3to1/10.png"",""time"":991},{""stimulus"":""img/3to1/11.png"",""time"":1112},{""stimulus"":""img/3to1/12.png"",""time"":1190}]","[]"
"image-keyboard-response","261","264797","0.0-5.0-1.128","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","97","210","0.5","0.1","1","2","",""
"animation","262","266085","0.0-5.0-2.128","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","97","","","","1","2","[{""stimulus"":""img/1to2/1.png"",""time"":109},{""stimulus"":""img/1to2/2.png"",""time"":201},{""stimulus"":""img/1to2/3.png"",""time"":311},{""stimulus"":""img/1to2/4.png"",""time"":406},{""stimulus"":""img/1to2/5.png"",""time"":496},{""stimulus"":""img/1to2/6.png"",""time"":608},{""stimulus"":""img/1to2/7.png"",""time"":694},{""stimulus"":""img/1to2/8.png"",""time"":809},{""stimulus"":""img/1to2/9.png"",""time"":901},{""stimulus"":""img/1to2/10.png"",""time"":991},{""stimulus"":""img/1to2/11.png"",""time"":1103},{""stimulus"":""img/1to2/12.png"",""time"":1189}]","[]"
"image-keyboard-response","263","266524","0.0-5.0-1.129","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","438","","img/2to1/1.png","2","choice","96","308","0.5","0.1","2","3","",""
"animation","264","267823","0.0-5.0-2.129","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","96","","","","2","3","[{""stimulus"":""img/2to3/1.png"",""time"":106},{""stimulus"":""img/2to3/2.png"",""time"":200},{""stimulus"":""img/2to3/3.png"",""time"":308},{""stimulus"":""img/2to3/4.png"",""time"":400},{""stimulus"":""img/2to3/5.png"",""time"":509},{""stimulus"":""img/2to3/6.png"",""time"":602},{""stimulus"":""img/2to3/7.png"",""time"":695},{""stimulus"":""img/2to3/8.png"",""time"":804},{""stimulus"":""img/2to3/9.png"",""time"":898},{""stimulus"":""img/2to3/10.png"",""time"":991},{""stimulus"":""img/2to3/11.png"",""time"":1100},{""stimulus"":""img/2to3/12.png"",""time"":1192}]","[]"
"image-keyboard-response","265","268242","0.0-5.0-1.130","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","95","413","0.5","0.1","3","1","",""
"animation","266","269530","0.0-5.0-2.130","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","95","","","","3","1","[{""stimulus"":""img/3to1/1.png"",""time"":109},{""stimulus"":""img/3to1/2.png"",""time"":203},{""stimulus"":""img/3to1/3.png"",""time"":310},{""stimulus"":""img/3to1/4.png"",""time"":397},{""stimulus"":""img/3to1/5.png"",""time"":496},{""stimulus"":""img/3to1/6.png"",""time"":606},{""stimulus"":""img/3to1/7.png"",""time"":701},{""stimulus"":""img/3to1/8.png"",""time"":793},{""stimulus"":""img/3to1/9.png"",""time"":905},{""stimulus"":""img/3to1/10.png"",""time"":999},{""stimulus"":""img/3to1/11.png"",""time"":1094},{""stimulus"":""img/3to1/12.png"",""time"":1189}]","[]"
"image-keyboard-response","267","270036","0.0-5.0-1.131","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/1to3/1.png","null","observe","94","502","0.5","0.1","1","3","",""
"animation","268","271326","0.0-5.0-2.131","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","94","","","","1","3","[{""stimulus"":""img/1to3/1.png"",""time"":110},{""stimulus"":""img/1to3/2.png"",""time"":205},{""stimulus"":""img/1to3/3.png"",""time"":313},{""stimulus"":""img/1to3/4.png"",""time"":397},{""stimulus"":""img/1to3/5.png"",""time"":500},{""stimulus"":""img/1to3/6.png"",""time"":609},{""stimulus"":""img/1to3/7.png"",""time"":694},{""stimulus"":""img/1to3/8.png"",""time"":795},{""stimulus"":""img/1to3/9.png"",""time"":904},{""stimulus"":""img/1to3/10.png"",""time"":992},{""stimulus"":""img/1to3/11.png"",""time"":1104},{""stimulus"":""img/1to3/12.png"",""time"":1197}]","[]"
"image-keyboard-response","269","271652","0.0-5.0-1.132","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","null","","img/3to2/1.png","null","observe","93","322","0.5","0.1","3","2","",""
"animation","270","272940","0.0-5.0-2.132","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","","","","","","93","","","","3","2","[{""stimulus"":""img/3to2/1.png"",""time"":108},{""stimulus"":""img/3to2/2.png"",""time"":199},{""stimulus"":""img/3to2/3.png"",""time"":311},{""stimulus"":""img/3to2/4.png"",""time"":397},{""stimulus"":""img/3to2/5.png"",""time"":496},{""stimulus"":""img/3to2/6.png"",""time"":607},{""stimulus"":""img/3to2/7.png"",""time"":693},{""stimulus"":""img/3to2/8.png"",""time"":795},{""stimulus"":""img/3to2/9.png"",""time"":903},{""stimulus"":""img/3to2/10.png"",""time"":996},{""stimulus"":""img/3to2/11.png"",""time"":1106},{""stimulus"":""img/3to2/12.png"",""time"":1199}]","[]"
"image-keyboard-response","271","273805","0.0-5.0-1.133","63e51ddb19fccd05514c629c","bdp_cybrbll","Tue Mar 28 2023 18:15:25 GMT-0700 (Pacific Daylight Time)","446759","1","3","","863","","img/2to1/1.png","1","choice","92","312","0.5","0.1","2","1","",""
